Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SS Tiwary,2010-2012,5,5,2,86,42*,28.66,83,103.61,0,0,0,3,3
V Sehwag,2008-2015,6,6,0,81,71,13.5,57,142.1,0,1,1,8,4
SP Fleming,2008-2008,5,5,0,80,45,16,77,103.89,0,0,0,7,3
RK Singh,2018-2025,5,4,1,80,54,26.66,73,109.58,0,1,0,5,4
JC Buttler,2019-2024,3,3,0,79,52,26.33,68,116.17,0,1,0,4,3
KM Jadhav,2011-2021,12,9,4,78,20,15.6,85,91.76,0,0,0,7,1
RR Rossouw,2023-2024,2,2,0,78,43,39,60,130,0,0,0,7,3
YBK Jaiswal,2023-2024,3,3,0,76,42,25.33,50,152,0,0,0,9,4
EJG Morgan,2011-2021,5,5,1,76,32*,19,61,124.59,0,0,0,5,4
LR Shukla,2008-2012,5,5,1,76,42,19,59,128.81,0,0,0,6,3
MK Tiwary,2010-2012,4,4,1,76,27,25.33,62,122.58,0,0,0,6,2
S Anirudha,2008-2013,10,6,2,75,64,18.75,73,102.73,0,1,1,6,2
SN Khan,2015-2019,2,2,0,75,67,37.5,67,111.94,0,1,0,5,2
AD Mathews,2010-2012,2,2,0,75,48,37.5,70,107.14,0,0,0,4,2
D Brevis,2025-2025,2,2,0,74,42,37,51,145.09,0,0,0,3,5
DPMD Jayawardene,2008-2012,4,4,0,74,55,18.5,59,125.42,0,1,0,5,3
Mandeep Singh,2012-2019,4,4,1,72,56,24,66,109.09,0,1,1,7,1
CA Lynn,2018-2021,3,3,0,71,49,23.66,56,126.78,0,0,1,8,3
KR Mayers,2023-2023,2,2,0,71,53,35.5,35,202.85,0,1,0,11,2
Abhishek Sharma,2021-2025,8,7,0,70,34,10,57,122.8,0,0,1,5,3
Sameer Rizvi,2024-2025,6,4,1,70,21,23.33,52,134.61,0,0,0,5,3
AJ Finch,2013-2013,1,1,0,67,67,67,45,148.88,0,1,0,10,2
Y Venugopal Rao,2008-2012,4,3,0,67,30,22.33,51,131.37,0,0,0,2,5
TM Head,2024-2025,4,4,0,66,34,16.5,52,126.92,0,0,1,8,2
N Pooran,2021-2024,5,4,0,66,34,16.5,34,194.11,0,0,2,5,5
C Green,2023-2024,3,3,0,65,41,21.66,49,132.65,0,0,0,8,1
AK Markram,2023-2024,4,4,0,65,32,16.25,63,103.17,0,0,0,8,0
VR Iyer,2023-2025,4,3,1,64,52*,32,38,168.42,0,1,0,6,3
PP Shaw,2019-2021,3,3,0,64,53,21.33,49,130.61,0,1,0,9,1
BJ Hodge,2011-2013,3,3,3,63,51*,-,53,118.86,0,1,0,4,2
S Vidyut,2008-2008,3,3,0,62,54,20.66,44,140.9,0,1,1,9,1
AR Patel,2015-2025,5,4,0,60,21,15,45,133.33,0,0,0,5,3
RM Patidar,2021-2025,4,4,0,60,51,15,45,133.33,0,1,1,5,3
P Negi,2012-2015,4,4,1,59,36,19.66,33,178.78,0,0,0,5,3
SV Samson,2015-2024,5,5,0,59,26,11.8,59,100,0,0,1,3,2
NT Tilak Varma,2023-2025,2,2,0,57,31,28.5,47,121.27,0,0,0,2,4
SW Billings,2018-2018,1,1,0,56,56,56,23,243.47,0,1,0,2,5
S Sohal,2011-2011,1,1,0,56,56,56,30,186.66,0,1,0,6,4
HH Gibbs,2008-2010,2,2,0,55,45,27.5,46,119.56,0,0,0,6,2
YK Pathan,2008-2019,8,8,2,55,13,9.16,57,96.49,0,0,0,2,1
OA Shah,2011-2012,2,2,0,55,52,27.5,46,119.56,0,1,0,4,3
BA Stokes,2019-2023,2,2,0,54,46,27,34,158.82,0,0,0,2,3
Kamran Akmal,2008-2008,1,1,1,53,53*,-,28,189.28,0,1,0,4,3
R Parag,2024-2024,2,2,1,53,47*,53,45,117.77,0,0,0,1,3
K Nitish Kumar Reddy,2024-2025,4,4,1,52,19*,17.33,48,108.33,0,0,0,3,1
LRPL Taylor,2011-2013,3,3,0,52,24,17.33,41,126.82,0,0,0,3,2
RE Levi,2012-2012,1,1,0,50,50,50,35,142.85,0,1,0,6,3
LS Livingstone,2023-2025,2,2,0,50,40,25,33,151.51,0,0,0,1,5
A Symonds,2010-2010,1,1,0,50,50,50,43,116.27,0,1,0,3,3
Abdul Samad,2021-2024,6,6,1,49,19*,9.8,41,119.51,0,0,2,2,3
SO Hetmyer,2019-2024,5,5,2,49,30*,16.33,41,119.51,0,0,1,4,2
RR Pant,2019-2021,3,3,0,49,37,16.33,38,128.94,0,0,0,6,1
PD Salt,2023-2025,3,3,0,49,32,16.33,28,175,0,0,1,6,3
Shakib Al Hasan,2012-2021,5,4,1,49,26,16.33,46,106.52,0,0,0,3,1
Anuj Rawat,2024-2024,1,1,0,48,48,48,25,192,0,0,0,4,3
Rashid Khan,2019-2024,8,5,0,48,30,9.6,29,165.51,0,0,2,4,3
Shahbaz Ahmed,2021-2024,6,5,0,48,18,9.6,42,114.28,0,0,0,1,3
Shashank Singh,2024-2025,2,2,1,48,25*,48,38,126.31,0,0,0,2,3
KH Pandya,2019-2025,11,10,1,47,15,5.22,54,87.03,0,0,2,5,1
SC Ganguly,2008-2012,3,3,0,46,24,15.33,57,80.7,0,0,0,7,0
M Manhas,2010-2011,2,2,1,45,25*,45,55,81.81,0,0,0,2,1
Y Nagar,2011-2012,2,2,2,45,44*,-,49,91.83,0,0,0,1,1
AM Nayar,2008-2013,2,2,2,45,45*,-,21,214.28,0,0,0,6,1
T Stubbs,2023-2025,2,2,1,44,24*,44,33,133.33,0,0,0,4,1
STR Binny,2011-2013,3,2,2,43,36*,-,29,148.27,0,0,0,3,1
SA Asnodkar,2008-2008,1,1,0,41,41,41,27,151.85,0,0,0,5,2
JEC Franklin,2011-2012,2,2,1,41,25*,41,47,87.23,0,0,0,2,1
SB Styris,2008-2011,2,2,2,41,36*,-,43,95.34,0,0,0,4,1
PJ Cummins,2015-2025,8,6,1,40,24,8,36,111.11,0,0,2,4,2
Rahmanullah Gurbaz,2023-2024,2,2,0,40,39,20,36,111.11,0,0,0,5,2
A Ashish Reddy,2012-2013,2,2,1,39,36*,39,19,205.26,0,0,0,2,3
AL Menaria,2011-2012,2,2,0,38,36,19,42,90.47,0,0,0,2,1
LMP Simmons,2015-2015,1,1,0,38,38,38,31,122.58,0,0,0,3,2
RN ten Doeschate,2015-2015,1,1,1,38,38*,-,28,135.71,0,0,0,3,2
TH David,2023-2025,3,3,1,37,22*,18.5,25,148,0,0,0,2,3
MJ Lumb,2010-2010,1,1,0,37,37,37,26,142.3,0,0,0,6,1
A Mhatre,2025-2025,2,2,0,37,30,18.5,25,148,0,0,0,7,0
B Sai Sudharsan,2024-2024,1,1,0,37,37,37,31,119.35,0,0,0,3,0
PP Chawla,2008-2023,9,6,2,35,17,8.75,38,92.1,0,0,2,3,2
MJ Santner,2019-2025,4,3,1,34,22,17,34,100,0,0,0,1,2
Lalit Yadav,2021-2023,2,2,1,34,22*,34,30,113.33,0,0,0,4,0
Abishek Porel,2025-2025,1,1,0,33,33,33,20,165,0,0,0,4,1
JM Sharma,2023-2025,3,2,0,33,21,16.5,16,206.25,0,0,0,3,2
DT Christian,2011-2021,5,5,1,32,27*,8,32,100,0,0,0,2,1
E Lewis,2019-2019,1,1,0,32,32,32,30,106.66,0,0,0,3,1
PHKD Mendis,2025-2025,1,1,1,32,32*,-,22,145.45,0,0,0,3,0
J Botha,2011-2013,2,2,0,31,23,15.5,26,119.23,0,0,0,4,1
KC Sangakkara,2010-2012,3,3,0,31,15,10.33,33,93.93,0,0,0,3,1
DL Chahar,2018-2025,20,3,2,29,28*,29,19,152.63,0,0,1,2,2
DJ Hussey,2008-2013,4,4,0,29,22,7.25,25,116,0,0,2,3,1
A Mishra,2010-2021,8,4,0,29,15,7.25,41,70.73,0,0,0,3,0
CH Morris,2013-2019,8,6,5,29,16*,29,22,131.81,0,0,1,0,1
K Gowtham,2019-2023,3,3,1,28,17*,14,22,127.27,0,0,0,0,2
JC Archer,2019-2023,2,2,2,27,24*,-,13,207.69,0,0,0,1,2
KA Jamieson,2021-2021,3,3,1,27,12,13.5,17,158.82,0,0,0,3,1
P Kumar,2008-2013,4,2,1,27,21,27,17,158.82,0,0,0,2,1
Washington Sundar,2021-2023,4,3,0,27,10,9,33,81.81,0,0,0,2,0
MN Samuels,2012-2012,1,1,0,26,26,26,24,108.33,0,0,0,2,1
A Badoni,2023-2024,3,2,0,24,23,12,25,96,0,0,0,0,0
M Kaif,2008-2010,2,2,0,24,14,12,23,104.34,0,0,0,1,0
A Raghuvanshi,2024-2024,1,1,0,24,24,24,18,133.33,0,0,0,3,1
JD Ryder,2011-2012,2,2,0,24,15,12,21,114.28,0,0,0,3,1
M Shahrukh Khan,2021-2023,3,2,1,24,22,24,20,120,0,0,0,0,2
UT Yadav,2010-2024,7,5,2,24,12*,8,35,68.57,0,0,1,0,2
P Arya,2025-2025,1,1,0,23,23,23,15,153.33,0,0,0,5,0
RS Bopara,2010-2015,2,2,0,23,22,11.5,23,100,0,0,0,0,2
MS Gony,2008-2013,10,5,3,23,15*,11.5,21,109.52,0,0,0,1,2
KP Pietersen,2010-2010,1,1,1,23,23*,-,14,164.28,0,0,0,2,1
J Yadav,2019-2021,3,2,1,23,23,23,22,104.54,0,0,0,1,0
AN Ahmed,2010-2012,3,2,2,22,18*,-,20,110,0,0,0,1,1
JP Duminy,2011-2015,2,2,0,22,17,11,16,137.5,0,0,0,2,0
JR Hopes,2008-2011,2,2,0,22,14,11,13,169.23,0,0,0,1,1
JM Kemp,2010-2010,2,1,0,22,22,22,16,137.5,0,0,0,1,1
R Sathish,2010-2013,3,3,1,22,18*,11,27,81.48,0,0,1,1,0
M Jansen,2021-2025,4,4,2,21,17*,10.5,27,77.77,0,0,2,2,0
Z Khan,2011-2012,4,2,1,21,21,21,21,100,0,0,0,2,0
AB Agarkar,2008-2011,3,2,1,20,11,20,14,142.85,0,0,0,3,0
ST Jayasuriya,2008-2008,1,1,0,20,20,20,11,181.81,0,0,0,4,0
RR Sarwan,2008-2008,1,1,0,20,20,20,22,90.9,0,0,0,0,0
Shahid Afridi,2008-2008,1,1,1,20,20*,-,6,333.33,0,0,0,2,2
J Suchith,2015-2021,3,2,1,20,14*,20,21,95.23,0,0,0,2,1
DE Bollinger,2010-2012,14,2,1,19,16*,19,19,100,0,0,0,1,1
Y Gnaneswara Rao,2011-2011,1,1,0,19,19,19,17,111.76,0,0,0,3,0
DJG Sammy,2013-2013,1,1,0,19,19,19,12,158.33,0,0,0,2,1
AU Verma,2025-2025,1,1,0,19,19,19,19,100,0,0,0,0,2
Azhar Mahmood,2012-2012,1,1,0,18,18,18,12,150,0,0,0,0,2
L Balaji,2008-2013,8,3,0,18,15,6,22,81.81,0,0,1,1,1
HC Brook,2023-2023,1,1,0,18,18,18,13,138.46,0,0,0,3,0
MV Boucher,2008-2008,1,1,0,17,17,17,15,113.33,0,0,0,3,0
B Chipli,2011-2011,1,1,0,17,17,17,15,113.33,0,0,0,0,0
Naman Dhir,2025-2025,1,1,0,17,17,17,12,141.66,0,0,0,1,0
SM Pollock,2008-2008,1,1,0,17,17,17,15,113.33,0,0,0,0,1
MD Shanaka,2023-2023,1,1,0,17,17,17,16,106.25,0,0,0,1,1
D Wiese,2015-2015,1,1,0,17,17,17,14,121.42,0,0,0,2,0
UBT Chand,2013-2013,1,1,0,16,16,16,12,133.33,0,0,0,2,1
JP Faulkner,2013-2015,2,1,0,16,16,16,13,123.07,0,0,0,2,0
Joginder Sharma,2008-2008,4,2,1,16,16,16,10,160,0,0,0,1,1
Mohammad Hafeez,2008-2008,1,1,0,16,16,16,24,66.66,0,0,0,1,0
NL McCullum,2011-2011,1,1,0,15,15,15,16,93.75,0,0,0,0,0
Virat Singh,2021-2021,3,2,0,15,11,7.5,26,57.69,0,0,0,1,0
RD Chahar,2019-2024,9,3,0,14,8,4.66,13,107.69,0,0,1,1,0
MC Henriques,2021-2021,2,1,0,14,14,14,17,82.35,0,0,0,0,0
Mohammad Nabi,2021-2021,1,1,0,14,14,14,11,127.27,0,0,0,2,0
AUK Pathan,2011-2011,1,1,0,14,14,14,5,280,0,0,0,2,1
RE van der Merwe,2012-2013,2,1,0,14,14,14,16,87.5,0,0,0,1,0
JJ van der Wath,2011-2011,1,1,1,14,14*,-,10,140,0,0,0,1,1
LA Pomersbach,2011-2013,3,3,0,13,7,4.33,16,81.25,0,0,0,1,0
Ramandeep Singh,2024-2025,3,1,0,13,13,13,12,108.33,0,0,0,0,1
RD Rickelton,2025-2025,1,1,0,13,13,13,7,185.71,0,0,0,3,0
Sikandar Raza,2023-2023,1,1,1,13,13*,-,7,185.71,0,0,0,1,0
A Taide,2023-2023,1,1,0,13,13,13,17,76.47,0,0,0,0,0
VVS Laxman,2010-2010,1,1,0,12,12,12,11,109.09,0,0,0,2,0
JJ Roy,2023-2023,1,1,0,12,12,12,15,80,0,0,0,1,0
Azmatullah Omarzai,2024-2025,2,1,0,11,11,11,10,110,0,0,0,1,0
DB Das,2012-2013,2,1,1,11,11*,-,4,275,0,0,0,2,0
WG Jacks,2025-2025,1,1,0,11,11,11,7,157.14,0,0,0,2,0
A Mithun,2011-2011,2,1,0,11,11,11,8,137.5,0,0,0,2,0
SK Rasheed,2025-2025,2,2,0,11,11,5.5,13,84.61,0,0,1,1,1
Anureet Singh,2015-2015,1,1,0,10,10,10,20,50,0,0,0,0,0
AC Blizzard,2011-2011,1,1,0,10,10,10,11,90.9,0,0,0,2,0
SP Goswami,2008-2012,2,1,0,10,10,10,19,52.63,0,0,0,1,0
T Kohler-Cadmore,2024-2024,1,1,0,10,10,10,16,62.5,0,0,0,1,0
KK Nair,2015-2015,1,1,0,10,10,10,12,83.33,0,0,0,1,0
Noor Ahmad,2023-2025,7,5,2,10,7*,3.33,19,52.63,0,0,1,1,0
RV Patel,2023-2023,1,1,0,10,10,10,16,62.5,0,0,0,0,0
TL Suman,2010-2013,2,1,1,10,10*,-,5,200,0,0,0,2,0
X Thalaivan Sargunam,2013-2013,1,1,0,10,10,10,17,58.82,0,0,0,0,0
JD Unadkat,2019-2025,5,4,1,10,5,3.33,15,66.66,0,0,0,1,0
MA Wood,2023-2023,1,1,1,10,10*,-,3,333.33,0,0,0,1,1
M Ashwin,2019-2021,2,1,0,9,9,9,10,90,0,0,0,1,0
MA Khote,2008-2008,1,1,0,9,9,9,5,180,0,0,0,0,1
B Kumar,2012-2025,13,6,5,9,4*,9,14,64.28,0,0,0,0,0
MD Mishra,2011-2011,1,1,0,9,9,9,9,100,0,0,0,1,0
R Tewatia,2023-2024,2,2,0,9,6,4.5,16,56.25,0,0,0,1,0
CA Ingram,2011-2019,2,2,0,8,7,4,17,47.05,0,0,0,1,0
AA Jhunjhunwala,2010-2012,2,2,1,8,7,8,5,160,0,0,0,0,1
M Kartik,2008-2013,4,3,2,8,4*,8,8,100,0,0,0,0,0
AB McDonald,2011-2011,1,1,0,8,8,8,7,114.28,0,0,0,0,0
Mohammed Shami,2013-2025,6,2,0,8,5,4,8,100,0,0,0,1,0
DH Yagnik,2011-2013,2,2,1,8,7,8,9,88.88,0,0,0,1,0
Bipul Sharma,2012-2012,1,1,0,7,7,7,5,140,0,0,0,1,0
S Kaul,2013-2021,3,1,1,7,7*,-,9,77.77,0,0,0,0,0
SL Malinga,2010-2019,5,1,0,7,7,7,5,140,0,0,0,0,1
MR Marsh,2013-2023,2,2,0,7,5,3.5,8,87.5,0,0,0,1,0
B Akhil,2008-2008,1,1,1,6,6*,-,7,85.71,0,0,0,1,0
FA Allen,2021-2021,2,1,0,6,6,6,11,54.54,0,0,0,0,0
JP Inglis,2025-2025,1,1,1,6,6*,-,6,100,0,0,0,1,0
SB Jakati,2010-2012,23,1,1,6,6*,-,10,60,0,0,0,0,0
RT Ponting,2008-2013,2,2,0,6,6,3,11,54.54,0,0,1,0,0
R Powell,2024-2024,1,1,0,6,6,6,12,50,0,0,0,0,0
N Saini,2012-2012,1,1,0,6,6,6,4,150,0,0,0,1,0
R Vinay Kumar,2008-2018,7,2,1,6,6*,6,2,300,0,0,1,0,1
KB Arun Karthik,2013-2013,1,1,1,5,5*,-,5,100,0,0,0,0,0
NM Coulter-Nile,2015-2015,1,1,0,5,5,5,4,125,0,0,0,1,0
SH Johnson,2024-2024,1,1,1,5,5*,-,5,100,0,0,0,1,0
A Kamboj,2025-2025,3,3,1,5,3*,2.5,8,62.5,0,0,1,0,0
KMDN Kulasekara,2012-2012,3,1,1,5,5*,-,3,166.66,0,0,0,1,0
JDP Oram,2008-2008,2,1,1,5,5*,-,2,250,0,0,0,1,0
I Sharma,2008-2023,5,2,2,5,4*,-,4,125,0,0,0,0,0
DR Shorey,2019-2019,1,1,0,5,5,5,8,62.5,0,0,0,0,0
JJ Bumrah,2019-2021,7,3,2,4,3*,4,6,66.66,0,0,1,0,0
YS Chahal,2015-2025,9,2,1,4,4,4,12,33.33,0,0,0,0,0
C de Grandhomme,2019-2019,1,1,0,4,4,4,6,66.66,0,0,0,1,0
FY Fazal,2010-2010,1,1,0,4,4,4,5,80,0,0,0,0,0
CM Gautam,2015-2015,1,1,0,4,4,4,5,80,0,0,0,0,0
JO Holder,2013-2023,5,2,0,4,4,2,6,66.66,0,0,1,0,0
CJ Jordan,2023-2023,1,1,0,4,4,4,7,57.14,0,0,0,0,0
NJ Maddinson,2015-2015,1,1,0,4,4,4,7,57.14,0,0,0,1,0
Misbah-ul-Haq,2008-2008,1,1,0,4,4,4,6,66.66,0,0,0,0,0
HV Patel,2015-2025,6,3,2,4,4*,4,4,100,0,0,1,0,0
BJ Rohrer,2013-2013,1,1,0,4,4,4,5,80,0,0,0,0,0
KV Sharma,2013-2024,3,1,0,4,4,4,6,66.66,0,0,0,0,0
TA Boult,2015-2025,10,5,4,3,1*,3,7,42.85,0,0,0,0,0
Iqbal Abdulla,2010-2015,5,3,2,3,3*,3,7,42.85,0,0,1,0,0
T Kohli,2008-2008,1,1,0,3,3,3,3,100,0,0,0,0,0
PN Mankad,2023-2023,1,1,0,3,3,3,6,50,0,0,0,0,0
R Minz,2025-2025,1,1,0,3,3,3,9,33.33,0,0,0,0,0
Ravi Bishnoi,2021-2024,4,1,0,3,3,3,6,50,0,0,0,0,0
AS Roy,2019-2024,2,1,1,3,3*,-,3,100,0,0,0,0,0
S Tyagi,2010-2010,3,1,1,3,3*,-,4,75,0,0,0,0,0
DL Vettori,2011-2012,4,3,1,3,2*,1.5,4,75,0,0,1,0,0
KK Ahmed,2019-2025,11,3,2,2,1*,2,4,50,0,0,0,0,0
Aman Hakim Khan,2023-2023,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
TK Curran,2018-2018,1,1,1,2,2*,-,5,40,0,0,0,0,0
GB Hogg,2012-2015,2,1,1,2,2*,-,1,200,0,0,0,0,0
Imran Tahir,2015-2019,10,2,1,2,2,2,2,100,0,0,0,0,0
Karanveer Singh,2015-2015,1,1,1,2,2*,-,5,40,0,0,0,0,0
A Kumble,2008-2010,2,1,1,2,2*,-,1,200,0,0,0,0,0
Parvez Rasool,2015-2015,1,1,1,2,2*,-,2,100,0,0,0,0,0
RR Powar,2010-2010,1,1,1,2,2*,-,1,200,0,0,0,0,0
CA Pujara,2011-2012,2,2,0,2,2,1,5,40,0,0,1,0,0
AS Rajpoot,2013-2013,1,1,1,2,2*,-,6,33.33,0,0,0,0,0
AS Raut,2010-2010,1,1,1,2,2*,-,4,50,0,0,0,0,0
L Ronchi,2008-2008,1,1,0,2,2,2,3,66.66,0,0,0,0,0
SE Rutherford,2019-2019,1,1,0,2,2,2,4,50,0,0,0,0,0
NA Saini,2019-2019,1,1,0,2,2,2,3,66.66,0,0,0,0,0
MM Sharma,2013-2025,16,2,1,2,2*,2,1,200,0,0,1,0,0
J Syed Mohammad,2011-2013,3,1,1,2,2*,-,2,100,0,0,0,0,0
JE Taylor,2011-2011,1,1,0,2,2,2,1,200,0,0,0,0,0
CV Varun,2021-2025,7,1,1,2,2*,-,3,66.66,0,0,0,0,0
GH Vihari,2013-2013,1,1,0,2,2,2,3,66.66,0,0,0,0,0
VG Arora,2023-2025,4,1,1,1,1*,-,1,100,0,0,0,0,0
Arshad Khan,2023-2023,1,1,0,1,1,1,2,50,0,0,0,0,0
Arshdeep Singh,2021-2025,5,1,1,1,1*,-,2,50,0,0,0,0,0
GJ Bailey,2015-2015,1,1,0,1,1,1,3,33.33,0,0,0,0,0
TM Dilshan,2010-2011,2,2,0,1,1,0.5,3,33.33,0,0,1,0,0
K Goel,2008-2008,1,1,0,1,1,1,7,14.28,0,0,0,0,0
HF Gurney,2019-2019,1,1,1,1,1*,-,5,20,0,0,0,0,0
MG Johnson,2013-2015,2,1,0,1,1,1,2,50,0,0,0,0,0
R McLaren,2010-2010,1,1,0,1,1,1,3,33.33,0,0,0,0,0
Mujeeb Ur Rahman,2021-2021,1,1,1,1,1*,-,1,100,0,0,0,0,0
M Muralidaran,2008-2012,14,1,0,1,1,1,2,50,0,0,0,0,0
Naveen-ul-Haq,2023-2023,1,1,1,1,1*,-,5,20,0,0,0,0,0
A Nehra,2008-2015,11,3,2,1,1*,1,4,25,0,0,1,0,0
V Nigam,2025-2025,1,1,1,1,1*,-,2,50,0,0,0,0,0
PVSN Raju,2025-2025,1,1,1,1,1*,-,1,100,0,0,0,0,0
Sandeep Sharma,2015-2024,6,1,1,1,1*,-,4,25,0,0,0,0,0
