Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
,,,,,,,,,,,,,,,
Kane Williamson,2015-2024,79,77,17,2128,89,35.46,1694,125.61,0,18,2,185,64,
,,,,,,,,,,,,,,,
Aaron Finch,2010-2022,92,90,7,2091,88*,25.19,1631,128.2,0,15,8,214,78,
,,,,,,,,,,,,,,,
Adam Gilchrist,2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92,
,,,,,,,,,,,,,,,
Yashasvi Jaiswal,2020-2025,62,62,3,2033,124,34.45,1346,151.04,2,14,4,239,86,
,,,,,,,,,,,,,,,
Jean-Paul Duminy,2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79,
,,,,,,,,,,,,,,,
Michael Hussey,2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52,
,,,,,,,,,,,,,,,
Marcus Stoinis,2016-2025,103,94,24,1933,124*,27.61,1358,142.34,1,9,9,152,98,
,,,,,,,,,,,,,,,
Prithvi Shaw,2018-2024,79,79,0,1892,99,23.94,1283,147.46,0,14,7,238,61,
,,,,,,,,,,,,,,,
Axar Patel,2014-2025,160,122,37,1885,66,22.17,1407,133.97,0,3,7,127,93,
,,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,2,200,39,
,,,,,,,,,,,,,,,
Devdutt Padikkal,2020-2025,73,73,3,1789,101*,25.55,1415,126.43,1,11,6,189,55,
,,,,,,,,,,,,,,,
Shivam Dube,2019-2025,74,71,13,1750,95*,30.17,1211,144.5,0,10,3,104,114,
,,,,,,,,,,,,,,,
Krunal Pandya,2016-2025,137,116,39,1744,86,22.64,1315,132.62,0,2,7,151,65,
,,,,,,,,,,,,,,,
Sunil Narine,2012-2025,185,119,21,1712,109,17.46,1027,166.69,1,7,17,181,111,
,,,,,,,,,,,,,,,
Mandeep Singh,2010-2023,111,98,16,1706,77*,20.8,1388,122.91,0,6,15,176,38,
,,,,,,,,,,,,,,,
Manoj Tiwary,2008-2018,98,85,26,1695,75*,28.72,1449,116.97,0,7,8,156,40,
,,,,,,,,,,,,,,,
Kumar Sangakkara,2008-2013,71,68,3,1687,94,25.95,1392,121.19,0,10,4,195,27,
,,,,,,,,,,,,,,,
Karun Nair,2013-2025,81,74,5,1650,89,23.91,1258,131.16,0,11,4,180,47,
,,,,,,,,,,,,,,,
Abhishek Sharma,2018-2025,72,70,7,1617,141,25.66,1020,158.52,1,7,3,159,84,
,,,,,,,,,,,,,,,
Jony Bairstow,2019-2024,50,50,4,1589,114,34.54,1100,144.45,2,9,3,166,69,
,,,,,,,,,,,,,,,
Dwayne Bravo,2008-2022,160,113,44,1560,70*,22.6,1204,129.56,0,5,5,120,66,
,,,,,,,,,,,,,,,
Naman Ojha,2009-2018,113,94,19,1554,94*,20.72,1313,118.35,0,6,8,121,79,
,,,,,,,,,,,,,,,
Deepak Hooda,2015-2025,122,101,16,1496,64,17.6,1172,127.64,0,8,5,98,62,
,,,,,,,,,,,,,,,
Sowrah Tiwary,2008-2021,92,74,22,1494,61,28.73,1244,120.09,0,8,1,111,50,
,,,,,,,,,,,,,,,
Sai Sudharsan,2022-2025,34,34,3,1490,103,48.06,1047,142.31,1,11,0,141,47,
,,,,,,,,,,,,,,,
Venkatesh Iyer,2021-2025,60,56,7,1468,104,29.95,1069,137.32,1,12,2,136,65,
,,,,,,,,,,,,,,,
Subramanium Badrinath,2008-2013,94,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28,
,,,,,,,,,,,,,,,
Riyan Parag,2019-2025,79,68,12,1439,84*,25.69,1036,138.89,0,6,3,102,78,
,,,,,,,,,,,,,,,
Shimron Hetmyer,2019-2025,82,75,27,1430,75,29.79,935,152.94,0,5,2,90,91,
,,,,,,,,,,,,,,,
Eion Morgan,2010-2021,83,75,13,1405,68*,22.66,1146,122.6,0,5,6,112,64,
,,,,,,,,,,,,,,,
BJ Hodge,2008-2014,66,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43,
,,,,,,,,,,,,,,,
Tilak Varma,2022-2025,48,46,11,1395,84*,39.85,960,145.31,0,8,1,110,68,
,,,,,,,,,,,,,,,
Sourav Ganguly,2008-2012,58,56,3,1349,91,25.45,1263,106.8,0,7,4,137,42,
,,,,,,,,,,,,,,,
Aiden Markram,2021-2025,54,52,9,1330,68*,30.93,994,133.8,0,9,2,103,50,
,,,,,,,,,,,,,,,
CA Lynn,2012-2021,42,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66,
,,,,,,,,,,,,,,,
DJ Hussey,2008-2014,64,61,12,1322,71,26.97,1075,122.97,0,5,4,90,60,
,,,,,,,,,,,,,,,
Heinrich Klaasen,2018-2025,44,41,7,1281,104,37.67,774,165.5,1,7,1,84,76,
,,,,,,,,,,,,,,,
Vijay Shankar,2014-2025,78,65,18,1233,69*,26.23,950,129.78,0,7,2,88,48,
,,,,,,,,,,,,,,,
Kedar Jadhav,2010-2023,95,81,27,1208,69,22.37,981,123.13,0,4,6,102,40,
,,,,,,,,,,,,,,,
Moen Ali,2018-2025,70,59,6,1167,93,22.01,835,139.76,0,6,6,95,67,
,,,,,,,,,,,,,,,
TM Dilshan,2008-2013,51,50,7,1153,76*,26.81,1007,114.49,0,9,6,140,24,
,,,,,,,,,,,,,,,
IK Pathan,2008-2017,103,82,29,1139,60,21.49,946,120.4,0,1,3,87,37,
,,,,,,,,,,,,,,,
ML Hayden,2008-2010,32,32,2,1107,93,36.9,805,137.51,0,8,1,121,44,
,,,,,,,,,,,,,,,
Prabhsimran Singh,2019-2025,44,44,0,1102,103,25.04,726,151.79,1,6,4,117,58,
,,,,,,,,,,,,,,,
Manan Vohra,2013-2023,56,51,2,1083,95,22.1,829,130.63,0,3,3,104,43,
,,,,,,,,,,,,,,,
LMP Simmons,2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44,
,,,,,,,,,,,,,,,
Rahul Tewatia,2014-2025,102,72,27,1063,53,23.62,776,136.98,0,1,3,87,52,
,,,,,,,,,,,,,,,
Rinku Singh,2018-2025,55,48,14,1062,67*,31.23,739,143.7,0,4,0,84,53,
,,,,,,,,,,,,,,,
Mitchell Marsh,2010-2025,50,45,2,1043,89,24.25,759,137.41,0,7,6,84,58,
,,,,,,,,,,,,,,,
Travis Head,2016-2025,34,34,4,1033,102,34.43,608,169.9,1,7,5,113,49,
,,,,,,,,,,,,,,,
Rajat Patidar,2021-2025,37,33,1,1027,112*,32.09,658,156.07,1,9,1,71,64,
,,,,,,,,,,,,,,,
Liam Livingstone,2019-2025,46,45,7,1026,94,27,646,158.82,0,7,2,70,73,
,,,,,,,,,,,,,,,
Dewon Conway,2022-2025,25,25,3,1018,92*,46.27,728,139.83,0,10,2,108,32,
,,,,,,,,,,,,,,,
LRPL Taylor,2008-2014,55,54,14,1017,81*,25.42,822,123.72,0,3,3,66,46,
,,,,,,,,,,,,,,,
Kevin Pietersen,2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40,
,,,,,,,,,,,,,,,
MC Henriques,2009-2021,62,54,18,1000,74*,27.77,788,126.9,0,5,2,87,28,
,,,,,,,,,,,,,,,
Sam Curran,2019-2025,63,52,13,992,88,25.43,726,136.63,0,6,4,84,41,
,,,,,,,,,,,,,,,
Y Venugopal Rao,2008-2014,65,54,10,985,71*,22.38,836,117.82,0,3,2,77,37,
,,,,,,,,,,,,,,,
JA Morkel,2008-2016,90,68,28,974,73*,24.35,686,141.98,0,3,3,61,55,
,,,,,,,,,,,,,,,
A Symonds,2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,0,74,41,
,,,,,,,,,,,,,,,
CL White,2008-2013,47,45,9,954,78,26.5,755,126.35,0,6,4,76,36,
,,,,,,,,,,,,,,,
Ben Stokes,2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32,
,,,,,,,,,,,,,,,
Phil Salt,2023-2025,30,30,2,892,89*,31.85,514,173.54,0,8,3,104,47,
,,,,,,,,,,,,,,,
Ayush Badoni,2022-2025,52,44,10,886,59*,26.05,650,136.3,0,5,2,68,33,
,,,,,,,,,,,,,,,
HH Gibbs,2008-2012,36,36,4,886,69*,27.68,807,109.78,0,6,4,83,31,
,,,,,,,,,,,,,,,
STR Binny,2010-2019,94,68,22,880,48*,19.13,683,128.84,0,0,7,66,35,
,,,,,,,,,,,,,,,
Jitesh Sharma,2022-2025,50,43,7,851,49*,23.63,565,150.61,0,0,2,65,52,
,,,,,,,,,,,,,,,
Tim David,2021-2025,48,42,17,843,50*,33.72,480,175.62,0,1,3,54,60,
,,,,,,,,,,,,,,,
Harbhajan Singh,2008-2021,163,90,37,833,64,15.71,604,137.91,0,1,13,79,42,
,,,,,,,,,,,,,,,
Ravichandran Ashwin,2009-2025,217,96,34,812,50,13.09,690,117.68,0,1,12,62,28,
,,,,,,,,,,,,,,,
MS Bisla,2010-2015,39,39,1,798,92,21,702,113.67,0,4,3,93,23,
,,,,,,,,,,,,,,,
Shakib Al Hasan,2011-2021,71,52,12,793,66*,19.82,637,124.48,0,2,4,73,21,
,,,,,,,,,,,,,,,
ST Jayasuriya,2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,2,84,39,
,,,,,,,,,,,,,,,
GC Smith,2008-2011,29,29,3,739,91,28.42,668,110.62,0,4,3,94,9,
,,,,,,,,,,,,,,,
AD Mathews,2009-2017,49,42,11,724,65*,23.35,575,125.91,0,1,3,44,29,
,,,,,,,,,,,,,,,
Cameron Green,2023-2024,29,28,11,707,100*,41.58,460,153.69,1,2,0,62,32,
,,,,,,,,,,,,,,,
Abdul Samad,2020-2025,59,49,13,692,37*,19.22,457,151.42,0,0,3,43,46,
,,,,,,,,,,,,,,,
TL Suman,2009-2013,43,40,8,676,78*,21.12,575,117.56,0,2,3,55,26,
,,,,,,,,,,,,,,,
AM Nayar,2008-2014,60,50,12,672,45*,17.68,577,116.46,0,0,3,55,20,
,,,,,,,,,,,,,,,
GJ Bailey,2009-2016,40,37,10,663,61*,24.55,544,121.87,0,2,1,59,19,
,,,,,,,,,,,,,,,
E Lewis,2018-2022,27,26,2,654,65,27.25,477,137.1,0,4,2,62,36,
,,,,,,,,,,,,,,,
Shahrukh Khan,2021-2025,49,44,14,631,58,21.03,432,146.06,0,1,3,40,43,
,,,,,,,,,,,,,,,
Piyush Chawla,2008-2024,192,92,36,624,24*,11.14,563,110.83,0,0,16,56,20,
,,,,,,,,,,,,,,,
Tristan Stubbs,2022-2025,28,26,10,623,71*,38.93,368,169.29,0,3,2,45,35,
,,,,,,,,,,,,,,,
CH Morris,2013-2021,81,51,23,618,82*,22.07,398,155.27,0,2,9,41,35,
,,,,,,,,,,,,,,,
Abishek Porel,2023-2025,28,26,3,617,65,26.82,403,153.1,0,3,2,63,24,
,,,,,,,,,,,,,,,
Jason Roy,2017-2023,21,21,2,614,91*,32.31,443,138.6,0,4,0,75,21,
,,,,,,,,,,,,,,,
JD Ryder,2009-2012,29,29,1,604,86,21.57,458,131.87,0,4,4,69,19,
,,,,,,,,,,,,,,,
Shashank Singh,2022-2025,34,27,11,604,68*,37.75,397,152.14,0,3,2,44,33,
,,,,,,,,,,,,,,,
Druv Jurel,2023-2025,37,31,10,585,70,27.85,387,151.16,0,3,2,46,30,
,,,,,,,,,,,,,,,
SN Khan,2015-2023,50,37,11,585,67,22.5,448,130.58,0,1,3,63,14,
,,,,,,,,,,,,,,,
Pat Cummins,2014-2025,67,48,18,580,66*,19.33,386,150.25,0,3,4,38,39,
,,,,,,,,,,,,,,,
HM Amla,2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21,
,,,,,,,,,,,,,,,
Rashid Khan,2017-2025,130,63,24,567,79*,14.53,347,163.4,0,1,15,40,40,
,,,,,,,,,,,,,,,
Shahbaz Ahmed,2020-2025,56,38,9,545,59*,18.79,448,121.65,0,1,1,29,25,
,,,,,,,,,,,,,,,
Nehal Wadhera,2023-2025,29,24,3,544,64,25.9,382,142.4,0,3,1,47,30,
,,,,,,,,,,,,,,,
CJ Anderson,2014-2018,30,29,7,538,95*,24.45,423,127.18,0,3,2,40,31,
,,,,,,,,,,,,,,,
RS Bopara,2009-2015,24,22,4,531,84,29.5,453,117.21,0,3,2,39,16,
,,,,,,,,,,,,,,,
JP Faulkner,2012-2017,58,45,20,527,46,21.08,389,135.47,0,0,0,36,23,
,,,,,,,,,,,,,,,
Manipal Lomror,2018-2024,40,35,6,527,54*,18.17,373,141.28,0,1,3,33,30,
,,,,,,,,,,,,,,,
M Manhas,2008-2014,55,38,15,514,42*,22.34,470,109.36,0,0,6,43,10,
,,,,,,,,,,,,,,,
Gurkeerat Singh,2012-2020,41,32,8,511,65,21.29,422,121.09,0,2,4,55,11,
,,,,,,,,,,,,,,,
OA Shah,2010-2013,23,22,7,506,76,33.73,389,130.07,0,4,0,34,23,
,,,,,,,,,,,,,,,
PC Valthaty,2009-2013,23,23,1,505,120*,22.95,418,120.81,1,2,1,60,20,
,,,,,,,,,,,,,,,
Sam Billings,2016-2022,30,27,1,503,56,19.34,388,129.63,0,3,3,40,20,
,,,,,,,,,,,,,,,
Rilee Rossouw,2014-2024,22,22,2,473,82*,23.65,308,153.57,0,2,4,45,25,
,,,,,,,,,,,,,,,
DT Christian,2011-2021,49,41,10,460,39,14.83,398,115.57,0,0,2,23,19,
,,,,,,,,,,,,,,,
Nitish Kumar Reddy,2023-2025,24,19,3,455,76*,28.43,346,131.5,0,2,1,29,23,
,,,,,,,,,,,,,,,
Washington Sundar,2017-2025,64,43,12,442,49,14.25,365,121.09,0,0,3,37,12,
,,,,,,,,,,,,,,,
SA Asnodkar,2008-2011,20,20,0,423,60,21.15,339,124.77,0,2,3,56,10,
,,,,,,,,,,,,,,,
NLTC Perera,2010-2016,37,30,8,422,40,19.18,307,137.45,0,0,1,23,26,
,,,,,,,,,,,,,,,
JR Hopes,2008-2011,21,19,3,417,71,26.06,306,136.27,0,4,1,49,11,
,,,,,,,,,,,,,,,
Rachin Ravindra,2024-2025,18,18,1,413,65*,24.29,287,143.9,0,2,2,40,16,
,,,,,,,,,,,,,,,
J Botha,2009-2015,34,28,8,409,67*,20.45,359,113.92,0,1,0,39,5,
,,,,,,,,,,,,,,,
LR Shukla,2008-2014,47,34,7,405,48*,15,350,115.71,0,0,3,33,15,
,,,,,,,,,,,,,,,
Angkrish Raghuvanshi,2024-2025,19,15,2,404,54,31.07,269,150.18,0,2,0,40,16,
,,,,,,,,,,,,,,,
AL Menaria,2011-2013,29,23,2,401,40,19.09,356,112.64,0,0,1,24,18,
,,,,,,,,,,,,,,,
MV Boucher,2008-2011,31,24,10,394,50*,28.14,309,127.5,0,1,0,32,13,
,,,,,,,,,,,,,,,
CA Pujara,2010-2014,30,22,3,390,51,20.52,391,99.74,0,1,1,50,4,
,,,,,,,,,,,,,,,
Azhar Mahmood,2012-2015,23,21,2,388,80,20.42,303,128.05,0,2,2,39,13,
,,,,,,,,,,,,,,,
Jack Fraser McGurk,2024-2025,15,15,0,385,84,25.66,193,199.48,0,4,3,39,30,
,,,,,,,,,,,,,,,
Amit Mishra,2008-2024,162,57,25,381,31,11.9,419,90.93,0,0,10,31,5,
,,,,,,,,,,,,,,,
Kyle Mayers,2023-2023,13,13,0,379,73,29.15,263,144.1,0,4,2,38,22,
,,,,,,,,,,,,,,,
DB Ravi Teja,2008-2013,32,25,6,375,60,19.73,317,118.29,0,1,1,35,9,
,,,,,,,,,,,,,,,
Will Jacks,2024-2025,17,16,2,372,100*,26.57,247,150.6,1,1,0,28,24,
,,,,,,,,,,,,,,,
S Sohal,2008-2011,22,20,0,368,62,18.4,292,126.02,0,2,3,34,18,
,,,,,,,,,,,,,,,
Pawan Negi,2012-2019,50,35,9,365,36,14.03,289,126.29,0,0,3,27,16,
,,,,,,,,,,,,,,,
Roman Powell,2022-2025,28,23,3,365,67*,18.25,249,146.58,0,1,2,22,28,
,,,,,,,,,,,,,,,
Daryl Mitchell,2022-2024,15,15,2,351,63,27,267,131.46,0,2,0,28,10,
,,,,,,,,,,,,,,,
Karn Sharma,2009-2025,87,40,14,351,39*,13.5,294,119.38,0,0,1,20,17,
,,,,,,,,,,,,,,,
Priyansh Arya,2025-2025,10,10,0,346,103,34.6,176,196.59,1,1,1,37,22,
,,,,,,,,,,,,,,,
R Bhatia,2008-2017,95,49,19,342,26*,11.4,284,120.42,0,0,3,24,13,
,,,,,,,,,,,,,,,
P Kumar,2008-2017,119,59,21,340,34,8.94,314,108.28,0,0,9,22,17,
,,,,,,,,,,,,,,,
AP Tare,2010-2017,35,28,4,339,59,14.12,273,124.17,0,1,5,40,11,
,,,,,,,,,,,,,,,
Ashutosh Sharma,2024-2025,20,16,4,334,66*,27.83,198,168.68,0,2,0,21,24,
,,,,,,,,,,,,,,,
JEC Franklin,2011-2012,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8,
,,,,,,,,,,,,,,,
RN ten Doeschate,2011-2015,29,22,8,326,70*,23.28,235,138.72,0,1,3,26,15,
,,,,,,,,,,,,,,,
Shardul Thakur,2015-2025,104,41,14,321,68,11.88,232,138.36,0,1,8,29,13,
,,,,,,,,,,,,,,,
Anuj Rawat,2021-2024,24,21,5,318,66,19.87,267,119.1,0,1,4,26,14,
,,,,,,,,,,,,,,,
Rahmanullah Gurbaz,2023-2025,16,16,1,317,81,21.13,235,134.89,0,2,2,29,20,
,,,,,,,,,,,,,,,
Bhuvneshwar Kumar,2011-2025,185,72,36,316,27,8.77,347,91.06,0,0,6,31,3,
,,,,,,,,,,,,,,,
R Vinay Kumar,2008-2018,104,46,18,310,26*,11.07,274,113.13,0,0,4,21,9,
,,,,,,,,,,,,,,,
Sherfane Rutherford,2019-2025,18,16,4,307,46,25.58,233,131.75,0,0,0,18,21,
,,,,,,,,,,,,,,,
Lalit Yadav,2021-2024,27,21,5,305,48*,19.06,290,105.17,0,0,1,27,7,
,,,,,,,,,,,,,,,
Dewald Brevis,2022-2025,12,12,0,304,49,25.33,223,136.32,0,0,1,20,21,
,,,,,,,,,,,,,,,
DB Das,2008-2013,31,22,8,304,35*,21.71,261,116.47,0,0,1,23,16,
,,,,,,,,,,,,,,,
C de Grandhomme,2017-2019,25,21,5,303,40,18.93,225,134.66,0,0,3,18,18,
,,,,,,,,,,,,,,,
LA Pomersbach,2008-2013,17,16,5,302,79*,27.45,246,122.76,0,1,0,25,13,
,,,,,,,,,,,,,,,
UBT Chand,2011-2016,21,20,0,300,58,15,300,100,0,1,4,32,9,
,,,,,,,,,,,,,,,
Naman Dhir,2024-2025,17,14,4,295,62*,29.5,163,180.98,0,1,3,26,18,
,,,,,,,,,,,,,,,
DJG Sammy,2013-2015,22,20,5,295,60,19.66,241,122.4,0,1,2,15,18,
,,,,,,,,,,,,,,,
SP Goswami,2008-2020,31,21,1,293,52,14.65,295,99.32,0,1,4,32,3,
,,,,,,,,,,,,,,,
Y Nagar,2009-2012,26,20,6,285,44*,20.35,259,110.03,0,0,2,20,9,
,,,,,,,,,,,,,,,
GH Vihari,2013-2019,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1,
,,,,,,,,,,,,,,,
VVS Laxman,2008-2011,20,20,2,282,52,15.66,267,105.61,0,1,4,33,5,
,,,,,,,,,,,,,,,
A Ashish Reddy,2012-2016,31,23,8,280,36*,18.66,193,145.07,0,0,0,17,14,
,,,,,,,,,,,,,,,
B Chipli,2008-2013,23,21,6,280,61*,18.66,251,111.55,0,1,0,28,7,
,,,,,,,,,,,,,,,
Abhinav Manohar,2022-2025,24,19,1,280,43,15.55,224,125,0,0,2,23,13,
,,,,,,,,,,,,,,,
MJ Lumb,2010-2011,12,12,0,278,83,23.16,194,143.29,0,1,3,45,6,
,,,,,,,,,,,,,,,
Bhanuka Rajapaksa,2022-2023,13,13,1,277,50,23.08,191,145.02,0,1,1,22,15,
,,,,,,,,,,,,,,,
Priyam Garg,2020-2023,23,19,1,273,51*,15.16,241,113.27,0,1,2,16,9,
,,,,,,,,,,,,,,,
Ryan Rickelton,2025-2025,10,10,1,273,62*,30.33,179,152.51,0,2,0,35,12,
,,,,,,,,,,,,,,,
MJ Guptill,2016-2019,13,13,1,270,50*,22.5,196,137.75,0,1,1,24,15,
,,,,,,,,,,,,,,,
Harshal Patel,2012-2025,113,46,17,270,36*,9.31,229,117.9,0,0,9,16,15,
,,,,,,,,,,,,,,,
R Sathish,2010-2016,34,25,8,270,27*,15.88,231,116.88,0,0,2,22,6,
,,,,,,,,,,,,,,,
Jason Holder,2013-2023,46,27,6,259,47*,12.33,211,122.74,0,0,2,13,18,
,,,,,,,,,,,,,,,
M Kaif,2008-2012,29,22,4,259,34*,14.38,250,103.6,0,0,0,22,6,
,,,,,,,,,,,,,,,
K Gowtham,2018-2024,36,27,9,247,33*,13.72,148,166.89,0,0,2,15,17,
,,,,,,,,,,,,,,,
A Taide,2023-2024,9,9,0,247,66,27.44,168,147.02,0,2,1,27,8,
,,,,,,,,,,,,,,,
SM Katich,2008-2009,11,11,1,241,75,24.1,186,129.56,0,2,1,25,8,
,,,,,,,,,,,,,,,
Ben Cutting,2014-2019,21,17,6,238,39*,21.63,141,168.79,0,0,1,15,19,
,,,,,,,,,,,,,,,
MD Mishra,2010-2012,18,17,1,237,41,14.81,208,113.94,0,0,1,24,8,
