Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
BB McCullum,2008-2018,109.0,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
PA Patel,2008-2019,139.0,137,11,2848,81,22.60,2358,120.78,0,13,13,365,49,
"(Chennai Super Kings, Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Rana,2016-2025,117.0,111,10,2844,87,28.15,2075,137.06,0,20,7,259,141,
"(Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
Ishan Kishan,2016-2025,114.0,108,8,2827,106*,28.27,2065,136.90,1,16,9,274,126,
"(Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
GJ Maxwell,2012-2025,141.0,135,17,2819,95,23.88,1817,155.14,0,18,19,237,161,
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Yuvraj Singh,2008-2019,131.0,126,15,2750,83,24.77,2120,129.71,0,13,4,217,149,
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
V Sehwag,2008-2015,104.0,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
Mayank Agarwal,2011-2024,126.0,121,4,2661,106,22.74,2000,133.05,1,13,7,263,98,
"(Delhi Daredevils, Kings XI Punjab, Punjab Kings, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Hardik Pandya,2015-2025,146.0,134,41,2634,91,28.32,1802,146.17,0,10,6,198,142,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
M Vijay,2009-2020,106.0,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91,
"(Chennai Super Kings, Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
Andre Russell,2012-2025,136.0,112,20,2556,88*,27.78,1475,173.28,0,11,5,178,214,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
RD Gaikwad,2020-2025,70.0,70,8,2502,108*,40.35,1820,137.47,2,20,7,231,95,
(Chennai Super Kings),,,,,,,,,,,,,,,
SPD Smith,2012-2021,102.0,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60,
"(Delhi Capitals, Pune Warriors, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
SE Marsh,2008-2017,71.0,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78,
(Kings XI Punjab),,,,,,,,,,,,,,,
JH Kallis,2008-2014,98.0,96,11,2427,89*,28.55,2222,109.22,0,17,9,255,44,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DR Smith,2008-2017,91.0,89,5,2385,87*,28.39,1764,135.20,0,17,8,245,117,
"(Chennai Super Kings, Deccan Chargers, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
SR Tendulkar,2008-2013,78.0,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29,
(Mumbai Indians),,,,,,,,,,,,,,,
RA Tripathi,2017-2025,100.0,98,11,2291,93,26.33,1662,137.84,0,12,4,229,85,
"(Chennai Super Kings, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Dravid,2008-2013,89.0,82,5,2174,75*,28.23,1882,115.51,0,11,3,268,28,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
N Pooran,2019-2025,86.0,83,19,2173,87*,33.95,1289,168.58,0,13,9,145,161,
"(Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KS Williamson,2015-2024,79.0,77,17,2128,89,35.46,1694,125.61,0,18,2,185,64,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Aaron Finch,2010-2022,92.0,90,7,2091,88*,25.19,1631,128.20,0,15,8,214,78,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AC Gilchrist,2008-2013,80.0,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
YBK Jaiswal,2020-2025,62.0,62,3,2033,124,34.45,1346,151.04,2,14,4,239,86,
(Rajasthan Royals),,,,,,,,,,,,,,,
JP Duminy,2009-2018,83.0,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79,
"(Deccan Chargers, Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
MEK Hussey,2008-2015,59.0,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
MP Stoinis,2016-2025,103.0,94,24,1933,124*,27.61,1358,142.34,1,9,9,152,98,
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
PP Shaw,2018-2024,79.0,79,0,1892,99,23.94,1283,147.46,0,14,7,238,61,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
AR Patel,2014-2025,160.0,122,37,1885,66,22.17,1407,133.97,0,3,7,127,93,
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,80.0,78,15,1802,110*,28.60,1462,123.25,1,10,2,200,39,
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
D Padikkal,2020-2025,73.0,73,3,1789,101*,25.55,1415,126.43,1,11,6,189,55,
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
S Dube,2019-2025,74.0,71,13,1750,95*,30.17,1211,144.50,0,10,3,104,114,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KH Pandya,2016-2025,137.0,116,39,1744,86,22.64,1315,132.62,0,2,7,151,65,
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Sunil Narine,2012-2025,185.0,119,21,1712,109,17.46,1027,166.69,1,7,17,181,111,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Mandeep Singh,2010-2023,111.0,98,16,1706,77*,20.80,1388,122.91,0,6,15,176,38,
"(Delhi Capitals, Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MK Tiwary,2008-2018,98.0,85,26,1695,75*,28.72,1449,116.97,0,7,8,156,40,
"(Delhi Daredevils, Kings XI Punjab, Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,,
KC Sangakkara,2008-2013,71.0,68,3,1687,94,25.95,1392,121.19,0,10,4,195,27,
"(Deccan Chargers, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KK Nair,2013-2025,81.0,74,5,1650,89,23.91,1258,131.16,0,11,4,180,47,
"(Delhi Capitals, Delhi Daredevils, Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Abhishek Sharma,2018-2025,72.0,70,7,1617,141,25.66,1020,158.52,1,7,3,159,84,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JM Bairstow,2019-2024,50.0,50,4,1589,114,34.54,1100,144.45,2,9,3,166,69,
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Dwayne Bravo,2008-2022,160.0,113,44,1560,70*,22.60,1204,129.56,0,5,5,120,66,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
Naman Ojha,2009-2018,113.0,94,19,1554,94*,20.72,1313,118.35,0,6,8,121,79,
"(Delhi Daredevils, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DJ Hooda,2015-2025,122.0,101,16,1496,64,17.60,1172,127.64,0,8,5,98,62,
"(Chennai Super Kings, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SS Tiwary,2008-2021,92.0,74,22,1494,61,28.73,1244,120.09,0,8,1,111,50,
"(Delhi Daredevils, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
B Sai Sudharsan,2022-2025,34.0,34,3,1490,103,48.06,1047,142.31,1,11,0,141,47,
(Gujarat Titans),,,,,,,,,,,,,,,
VR Iyer,2021-2025,60.0,56,7,1468,104,29.95,1069,137.32,1,12,2,136,65,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
S Badrinath,2008-2013,94.0,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28,
(Chennai Super Kings),,,,,,,,,,,,,,,
R Parag,2019-2025,79.0,68,12,1439,84*,25.69,1036,138.89,0,6,3,102,78,
(Rajasthan Royals),,,,,,,,,,,,,,,
SO Hetmyer,2019-2025,82.0,75,27,1430,75,29.79,935,152.94,0,5,2,90,91,
"(Delhi Capitals, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
EJG Morgan,2010-2021,83.0,75,13,1405,68*,22.66,1146,122.60,0,5,6,112,64,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BJ Hodge,2008-2014,66.0,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43,
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
NT Tilak Varma,2022-2025,48.0,46,11,1395,84*,39.85,960,145.31,0,8,1,110,68,
(Mumbai Indians),,,,,,,,,,,,,,,
SC Ganguly,2008-2012,58.0,56,3,1349,91,25.45,1263,106.80,0,7,4,137,42,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
AK Markram,2021-2025,54.0,52,9,1330,68*,30.93,994,133.80,0,9,2,103,50,
"(Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
CA Lynn,2012-2021,42.0,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66,
"(Deccan Chargers, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
DJ Hussey,2008-2014,64.0,61,12,1322,71,26.97,1075,122.97,0,5,4,90,60,
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
H Klaasen,2018-2025,44.0,41,7,1281,104,37.67,774,165.50,1,7,1,84,76,
"(Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
V Shankar,2014-2025,78.0,65,18,1233,69*,26.23,950,129.78,0,7,2,88,48,
"(Chennai Super Kings, Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KM Jadhav,2010-2023,95.0,81,27,1208,69,22.37,981,123.13,0,4,6,102,40,
"(Chennai Super Kings, Delhi Daredevils, Kochi Tuskers Kerala, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MM Ali,2018-2025,70.0,59,6,1167,93,22.01,835,139.76,0,6,6,95,67,
"(Chennai Super Kings, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
TM Dilshan,2008-2013,51.0,50,7,1153,76*,26.81,1007,114.49,0,9,6,140,24,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
IK Pathan,2008-2017,103.0,82,29,1139,60,21.49,946,120.40,0,1,3,87,37,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
ML Hayden,2008-2010,32.0,32,2,1107,93,36.90,805,137.51,0,8,1,121,44,
(Chennai Super Kings),,,,,,,,,,,,,,,
Prabhsimran Singh,2019-2025,44.0,44,0,1102,103,25.04,726,151.79,1,6,4,117,58,
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
M Vohra,2013-2023,56.0,51,2,1083,95,22.10,829,130.63,0,3,3,104,43,
"(Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
LMP Simmons,2014-2017,29.0,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44,
(Mumbai Indians),,,,,,,,,,,,,,,
R Tewatia,2014-2025,102.0,72,27,1063,53,23.62,776,136.98,0,1,3,87,52,
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
RK Singh,2018-2025,55.0,48,14,1062,67*,31.23,739,143.70,0,4,0,84,53,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
MR Marsh,2010-2025,50.0,45,2,1043,89,24.25,759,137.41,0,7,6,84,58,
"(Deccan Chargers, Delhi Capitals, Lucknow Super Giants, Pune Warriors, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
TM Head,2016-2025,34.0,34,4,1033,102,34.43,608,169.90,1,7,5,113,49,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RM Patidar,2021-2025,37.0,33,1,1027,112*,32.09,658,156.07,1,9,1,71,64,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
LS Livingstone,2019-2025,46.0,45,7,1026,94,27.00,646,158.82,0,7,2,70,73,
"(Punjab Kings, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
DP Conway,2022-2025,25.0,25,3,1018,92*,46.27,728,139.83,0,10,2,108,32,
(Chennai Super Kings),,,,,,,,,,,,,,,
LRPL Taylor,2008-2014,55.0,54,14,1017,81*,25.42,822,123.72,0,3,3,66,46,
"(Delhi Daredevils, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Kevin Pietersen,2009-2016,36.0,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40,
"(Delhi Daredevils, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MC Henriques,2009-2021,62.0,54,18,1000,74*,27.77,788,126.90,0,5,2,87,28,
"(Delhi Daredevils, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SM Curran,2019-2025,63.0,52,13,992,88,25.43,726,136.63,0,6,4,84,41,
"(Chennai Super Kings, Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
Y Venugopal Rao,2008-2014,65.0,54,10,985,71*,22.38,836,117.82,0,3,2,77,37,
"(Deccan Chargers, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JA Morkel,2008-2016,90.0,68,28,974,73*,24.35,686,141.98,0,3,3,61,55,
"(Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
A Symonds,2008-2011,39.0,36,9,974,117*,36.07,750,129.86,1,5,0,74,41,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
CL White,2008-2013,47.0,45,9,954,78,26.50,755,126.35,0,6,4,76,36,
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BA Stokes,2017-2023,45.0,44,6,935,107*,24.60,698,133.95,2,2,3,81,32,
"(Chennai Super Kings, Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,,
PD Salt,2023-2025,30.0,30,2,892,89*,31.85,514,173.54,0,8,3,104,47,
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
A Badoni,2022-2025,52.0,44,10,886,59*,26.05,650,136.30,0,5,2,68,33,
(Lucknow Super Giants),,,,,,,,,,,,,,,
HH Gibbs,2008-2012,36.0,36,4,886,69*,27.68,807,109.78,0,6,4,83,31,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
STR Binny,2010-2019,94.0,68,22,880,48*,19.13,683,128.84,0,0,7,66,35,
"(Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
JM Sharma,2022-2025,50.0,43,7,851,49*,23.63,565,150.61,0,0,2,65,52,
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
TH David,2021-2025,48.0,42,17,843,50*,33.72,480,175.62,0,1,3,54,60,
"(Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Harbhajan Singh,2008-2021,163.0,90,37,833,64,15.71,604,137.91,0,1,13,79,42,
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
Ravichandran Ashwin,2009-2025,217.0,96,34,812,50,13.09,690,117.68,0,1,12,62,28,
"(Chennai Super Kings, Delhi Capitals, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,,
MS Bisla,2010-2015,39.0,39,1,798,92,21.00,702,113.67,0,4,3,93,23,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Shakib Al Hasan,2011-2021,71.0,52,12,793,66*,19.82,637,124.48,0,2,4,73,21,
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
ST Jayasuriya,2008-2010,30.0,30,2,768,114*,27.42,532,144.36,1,4,2,84,39,
(Mumbai Indians),,,,,,,,,,,,,,,
GC Smith,2008-2011,29.0,29,3,739,91,28.42,668,110.62,0,4,3,94,9,
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
AD Mathews,2009-2017,49.0,42,11,724,65*,23.35,575,125.91,0,1,3,44,29,
"(Delhi Daredevils, Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
C Green,2023-2024,29.0,28,11,707,100*,41.58,460,153.69,1,2,0,62,32,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Abdul Samad,2020-2025,59.0,49,13,692,37*,19.22,457,151.42,0,0,3,43,46,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
TL Suman,2009-2013,43.0,40,8,676,78*,21.12,575,117.56,0,2,3,55,26,
"(Deccan Chargers, Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,,
AM Nayar,2008-2014,60.0,50,12,672,45*,17.68,577,116.46,0,0,3,55,20,
"(Kings XI Punjab, Mumbai Indians, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
GJ Bailey,2009-2016,40.0,37,10,663,61*,24.55,544,121.87,0,2,1,59,19,
"(Chennai Super Kings, Kings XI Punjab, Rising Pune Supergiants)",,,,,,,,,,,,,,,
E Lewis,2018-2022,27.0,26,2,654,65,27.25,477,137.10,0,4,2,62,36,
"(Lucknow Super Giants, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
M Shahrukh Khan,2021-2025,49.0,44,14,631,58,21.03,432,146.06,0,1,3,40,43,
"(Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,,
Piyush Chawla,2008-2024,192.0,92,36,624,24*,11.14,563,110.83,0,0,16,56,20,
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
T Stubbs,2022-2025,28.0,26,10,623,71*,38.93,368,169.29,0,3,2,45,35,
"(Delhi Capitals, Mumbai Indians)",,,,,,,,,,,,,,,
CH Morris,2013-2021,81.0,51,23,618,82*,22.07,398,155.27,0,2,9,41,35,
"(Chennai Super Kings, Delhi Capitals, Delhi Daredevils, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Abishek Porel,2023-2025,28.0,26,3,617,65,26.82,403,153.10,0,3,2,63,24,
(Delhi Capitals),,,,,,,,,,,,,,,
JJ Roy,2017-2023,21.0,21,2,614,91*,32.31,443,138.60,0,4,0,75,21,
"(Delhi Daredevils, Gujarat Lions, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JD Ryder,2009-2012,29.0,29,1,604,86,21.57,458,131.87,0,4,4,69,19,
"(Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Shashank Singh,2022-2025,34.0,27,11,604,68*,37.75,397,152.14,0,3,2,44,33,
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DC Jurel,2023-2025,37.0,31,10,585,70,27.85,387,151.16,0,3,2,46,30,
(Rajasthan Royals),,,,,,,,,,,,,,,
