Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
Dushmantha Chameera,2022-2025,16,16,56,0,527,12,Feb-17,43.91,9.41,28,0,0,
,,,,,,,,,,,,,,
Joginder Sharma,2008-2011,16,15,42.4,0,419,12,Feb-27,34.91,9.82,21.3,0,0,
,,,,,,,,,,,,,,
Karanveer Singh,2014-2015,9,9,34,0,321,12,Apr-54,26.75,9.44,17,1,0,
,,,,,,,,,,,,,,
Kumar Kartikeya,2022-2025,15,15,45,0,385,12,Feb-22,32.08,8.55,22.5,0,0,
,,,,,,,,,,,,,,
GD McGrath,2008-2008,14,14,54,2,357,12,Apr-29,29.75,6.61,27,1,0,
,,,,,,,,,,,,,,
R McLaren,2010-2013,18,18,59,0,542,12,Feb-28,45.16,9.18,29.5,0,0,
,,,,,,,,,,,,,,
VRV Singh,2008-2010,19,18,60,0,542,12,Mar-29,45.16,9.03,30,0,0,
,,,,,,,,,,,,,,
Umar Gul,2008-2008,6,6,22.3,1,184,12,Apr-23,15.33,8.17,11.2,1,0,
,,,,,,,,,,,,,,
Abhishek Sharma,2018-2025,72,30,53,0,471,11,02-Apr,42.81,8.88,28.9,0,0,
,,,,,,,,,,,,,,
CJ Anderson,2014-2018,30,22,49.3,0,518,11,Feb-18,47.09,10.46,27,0,0,
,,,,,,,,,,,,,,
Samuel Badree,2013-2017,12,12,43,1,319,11,04-Sep,29,7.41,23.4,1,0,
,,,,,,,,,,,,,,
RS Bopara,2009-2015,24,14,34.2,0,292,11,Mar-31,26.54,8.5,18.7,0,0,
,,,,,,,,,,,,,,
A Chandila,2012-2013,12,12,39,0,242,11,Apr-13,22,6.2,21.2,1,0,
,,,,,,,,,,,,,,
JB Little,2023-2024,11,11,38,0,339,11,Apr-45,30.81,8.92,20.7,1,0,
,,,,,,,,,,,,,,
OC McCoy,2022-2023,8,8,26.5,0,250,11,Mar-23,22.72,9.31,14.6,0,0,
,,,,,,,,,,,,,,
AB McDonald,2009-2013,10,10,31,0,261,11,Feb-25,23.72,8.41,16.9,0,0,
,,,,,,,,,,,,,,
TS Mills,2017-2022,10,10,34.5,0,343,11,Mar-35,31.18,9.84,19,0,0,
,,,,,,,,,,,,,,
Pankaj Singh,2008-2012,17,17,50,1,468,11,Feb-18,42.54,9.36,27.2,0,0,
,,,,,,,,,,,,,,
JL Pattinson,2020-2020,10,10,35.3,0,320,11,Feb-19,29.09,9.01,19.3,0,0,
,,,,,,,,,,,,,,
SM Pollock,2008-2008,13,13,46,1,301,11,03-Dec,27.36,6.54,25,0,0,
,,,,,,,,,,,,,,
DJG Sammy,2013-2015,22,19,39.2,0,350,11,Apr-22,31.81,8.89,21.4,1,0,
,,,,,,,,,,,,,,
Simarjeet Singh,2022-2025,14,14,40,0,400,11,Mar-26,36.36,10,21.8,0,0,
,,,,,,,,,,,,,,
MA Wood,2018-2023,5,5,20,1,179,11,May-14,16.27,8.95,10.9,0,1,
,,,,,,,,,,,,,,
Akash Deep,2022-2025,12,12,39.2,1,466,10,Mar-45,46.6,11.84,23.6,0,0,
,,,,,,,,,,,,,,
Ben Cutting,2014-2019,21,17,46.5,0,429,10,Feb-20,42.9,9.16,28.1,0,0,
,,,,,,,,,,,,,,
SC Ganguly,2008-2012,59,20,46,0,363,10,Feb-21,36.3,7.89,27.6,0,0,
,,,,,,,,,,,,,,
Deepak Hooda,2015-2025,123,33,62.1,0,531,10,Feb-16,53.1,8.54,37.3,0,0,
,,,,,,,,,,,,,,
B Laughlin,2013-2018,9,9,27.5,0,282,10,Feb-15,28.2,10.13,16.7,0,0,
,,,,,,,,,,,,,,
V Pratap Singh,2012-2012,9,9,34,0,296,10,Feb-31,29.6,8.7,20.4,0,0,
,,,,,,,,,,,,,,
Nithesh Rana,2016-2025,117,26,32,0,270,10,02-Nov,27,8.43,19.2,0,0,
,,,,,,,,,,,,,,
Rasikh Salam,2019-2025,13,13,38.3,0,409,10,Mar-34,40.9,10.62,23.1,0,0,
,,,,,,,,,,,,,,
Digvesh Rathi,2025-2025,10,10,40,0,310,10,Feb-30,31,7.75,24,0,0,
,,,,,,,,,,,,,,
Lalit Yadav,2021-2024,27,19,48,0,425,10,02-Nov,42.5,8.85,28.8,0,0,
,,,,,,,,,,,,,,
KP Appanna,2009-2012,13,13,36,0,286,9,Apr-19,31.77,7.94,24,1,0,
,,,,,,,,,,,,,,
Arshad Khan,2023-2025,15,15,35.2,0,418,9,Mar-39,46.44,11.83,23.5,0,0,
,,,,,,,,,,,,,,
SE Bond,2010-2010,8,8,31,1,224,9,Feb-24,24.88,7.22,20.6,0,0,
,,,,,,,,,,,,,,
JEC Franklin,2011-2012,20,15,25.1,0,220,9,Feb-18,24.44,8.74,16.7,0,0,
,,,,,,,,,,,,,,
BE Hendricks,2014-2015,7,7,25,0,235,9,Mar-36,26.11,9.4,16.6,0,0,
,,,,,,,,,,,,,,
KA Jamieson,2021-2021,9,9,28,0,269,9,Mar-41,29.88,9.6,18.6,0,0,
,,,,,,,,,,,,,,
Kamran Khan,2009-2011,9,9,26.4,0,224,9,Mar-18,24.88,8.4,17.7,0,0,
,,,,,,,,,,,,,,
AG Murtaza,2010-2013,12,12,44,0,313,9,Mar-15,34.77,7.11,29.3,0,0,
,,,,,,,,,,,,,,
AM Nayar,2008-2014,60,19,38.1,0,322,9,Mar-13,35.77,8.43,25.4,0,0,
,,,,,,,,,,,,,,
Vipraj Nigam,2025-2025,10,10,27,0,256,9,Feb-18,28.44,9.48,18,0,0,
,,,,,,,,,,,,,,
JDP Oram,2008-2013,18,14,39.3,0,349,9,Mar-32,38.77,8.83,26.3,0,0,
,,,,,,,,,,,,,,
P Parameswaran,2011-2012,8,8,25.4,0,224,9,Mar-30,24.88,8.72,17.1,0,0,
,,,,,,,,,,,,,,
KMA Paul,2019-2019,8,8,27.1,0,237,9,Mar-17,26.33,8.72,18.1,0,0,
,,,,,,,,,,,,,,
MN Samuels,2012-2017,15,11,35.4,0,284,9,Mar-39,31.55,7.96,23.7,0,0,
,,,,,,,,,,,,,,
SMSM Senanayake,2013-2013,8,8,32,1,209,9,Feb-26,23.22,6.53,21.3,0,0,
,,,,,,,,,,,,,,
Shahid Afridi,2008-2008,10,10,30,0,225,9,Mar-28,25,7.5,20,0,0,
,,,,,,,,,,,,,,
Vijay Shankar,2014-2025,78,22,39.4,0,344,9,Feb-19,38.22,8.67,26.4,0,0,
,,,,,,,,,,,,,,
IS Sodhi,2018-2019,8,8,30.1,1,202,9,Mar-26,22.44,6.69,20.1,0,0,
,,,,,,,,,,,,,,
J Theron,2010-2015,10,10,36,0,293,9,Feb-17,32.55,8.13,24,0,0,
,,,,,,,,,,,,,,
Mayak Yadav,2024-2025,5,5,16.1,0,125,9,Mar-14,13.88,7.73,10.7,0,0,
,,,,,,,,,,,,,,
Anand Rajan,2011-2013,8,8,24.5,0,201,8,Mar-27,25.12,8.09,18.6,0,0,
,,,,,,,,,,,,,,
KC Cariappa,2015-2019,11,11,36,0,348,8,Feb-16,43.5,9.66,27,0,0,
,,,,,,,,,,,,,,
AA Chavan,2011-2013,13,13,41.2,0,326,8,Feb-23,40.75,7.88,31,0,0,
,,,,,,,,,,,,,,
DJ Hussey,2008-2014,64,26,52.5,0,474,8,02-Feb,59.25,8.97,39.6,0,0,
,,,,,,,,,,,,,,
BAW Mendis,2008-2013,10,10,40,0,285,8,Feb-19,35.62,7.12,30,0,0,
,,,,,,,,,,,,,,
Mohammad Asif,2008-2008,8,8,32,0,296,8,Feb-19,37,9.25,24,0,0,
,,,,,,,,,,,,,,
JDS Neesham,2014-2022,14,13,36,0,334,8,03-Dec,41.75,9.27,27,0,0,
,,,,,,,,,,,,,,
JD Ryder,2009-2012,29,16,39.2,1,303,8,Feb-14,37.87,7.7,29.5,0,0,
,,,,,,,,,,,,,,
S Sandeep Warrier,2019-2024,10,10,28,0,253,8,Mar-15,31.62,9.03,21,0,0,
,,,,,,,,,,,,,,
SB Styris,2008-2011,12,11,36,0,276,8,Mar-32,34.5,7.66,27,0,0,
,,,,,,,,,,,,,,
J Syed Mohammad,2011-2013,11,11,32,0,283,8,Feb-15,35.37,8.84,24,0,0,
,,,,,,,,,,,,,,
N Thushara,2024-2024,7,7,26,0,257,8,Mar-28,32.12,9.88,19.5,0,0,
,,,,,,,,,,,,,,
T Thushara,2009-2010,6,6,22.3,0,161,8,Feb-16,20.12,7.15,16.8,0,0,
,,,,,,,,,,,,,,
I Udana,2020-2020,10,10,29,0,282,8,Feb-41,35.25,9.72,21.7,0,0,
,,,,,,,,,,,,,,
J Yadav,2015-2023,20,20,65,0,445,8,01-Aug,55.62,6.84,48.7,0,0,
,,,,,,,,,,,,,,
P Amarnath,2008-2008,6,6,22,0,236,7,Feb-29,33.71,10.72,18.8,0,0,
,,,,,,,,,,,,,,
KM Asif,2018-2023,7,7,22.1,0,231,7,Feb-42,33,10.42,19,0,0,
,,,,,,,,,,,,,,
N Burger,2024-2024,5,5,17,0,145,7,Feb-29,20.71,8.52,14.5,0,0,
,,,,,,,,,,,,,,
HF Gurney,2019-2019,8,8,27,0,238,7,Feb-25,34,8.81,23.1,0,0,
,,,,,,,,,,,,,,
Will Jacks,2024-2025,17,10,20,0,178,7,Feb-14,25.42,8.9,17.1,0,0,
,,,,,,,,,,,,,,
AF Milne,2016-2022,10,10,34.3,0,327,7,Feb-21,46.71,9.47,29.5,0,0,
,,,,,,,,,,,,,,
A Mithun,2009-2013,16,16,48,0,472,7,Feb-37,67.42,9.83,41.1,0,0,
,,,,,,,,,,,,,,
M Ntini,2008-2008,9,9,35,2,242,7,Apr-21,34.57,6.91,30,1,0,
,,,,,,,,,,,,,,
Kevin Pietersen,2009-2016,36,13,29,0,215,7,Feb-31,30.71,7.41,24.8,0,0,
,,,,,,,,,,,,,,
AM Salvi,2009-2011,7,7,25,0,200,7,Feb-19,28.57,8,21.4,0,0,
,,,,,,,,,,,,,,
B Stanlake,2017-2018,6,6,24,0,200,7,Feb-21,28.57,8.33,20.5,0,0,
,,,,,,,,,,,,,,
Swapnil Singh,2016-2024,14,14,27,0,241,7,Feb-28,34.42,8.92,23.1,0,0,
,,,,,,,,,,,,,,
PC Valthaty,2009-2013,23,10,25.1,0,205,7,Apr-29,29.28,8.14,21.5,1,0,
,,,,,,,,,,,,,,
GC Viljoen,2019-2019,6,6,23,0,222,7,Feb-39,31.71,9.65,19.7,0,0,
,,,,,,,,,,,,,,
B Akhil,2008-2011,15,13,31.2,0,242,6,Feb-17,40.33,7.72,31.3,0,0,
,,,,,,,,,,,,,,
Ashwani Kumar,2025-2025,3,3,8,0,105,6,Apr-24,17.5,13.12,8,1,0,
,,,,,,,,,,,,,,
MG Bracewell,2023-2023,5,5,11,0,95,6,Feb-13,15.83,8.63,11,0,0,
,,,,,,,,,,,,,,
SS Cottrell,2020-2020,6,6,20,1,176,6,Feb-17,29.33,8.8,20,0,0,
,,,,,,,,,,,,,,
C de Grandhomme,2017-2019,25,19,36,0,319,6,03-Apr,53.16,8.86,36,0,0,
,,,,,,,,,,,,,,
Fazalhaq Farooqi,2022-2025,10,10,35.2,0,344,6,Feb-32,57.33,9.73,35.3,0,0,
,,,,,,,,,,,,,,
Jaskaran Singh,2009-2010,8,7,17,0,171,6,Feb-18,28.5,10.05,17,0,0,
,,,,,,,,,,,,,,
S Randiv,2011-2011,8,8,29,0,223,6,Feb-24,37.16,7.68,29,0,0,
,,,,,,,,,,,,,,
S Kaushik,2016-2017,10,10,34,0,297,6,Mar-20,49.5,8.73,34,0,0,
,,,,,,,,,,,,,,
K Khejroliya,2018-2025,8,8,23.1,0,246,6,Feb-33,41,10.61,23.1,0,0,
,,,,,,,,,,,,,,
VS Malik,2009-2014,13,13,34.1,0,261,6,Feb-14,43.5,7.63,34.1,0,0,
,,,,,,,,,,,,,,
Aiden Markram,2021-2025,54,18,30.1,0,260,6,Feb-30,43.33,8.61,30.1,0,0,
,,,,,,,,,,,,,,
DG Nalkande,2022-2024,6,6,14,0,148,6,Feb-21,24.66,10.57,14,0,0,
,,,,,,,,,,,,,,
D Pretorius,2022-2023,7,7,25,0,238,6,Feb-30,39.66,9.52,25,0,0,
,,,,,,,,,,,,,,
Vignesh Puthur,2025-2025,5,5,12,0,109,6,Mar-32,18.16,9.08,12,0,0,
,,,,,,,,,,,,,,
RR Raje,2008-2009,10,10,23.1,0,209,6,Feb-16,34.83,9.02,23.1,0,0,
,,,,,,,,,,,,,,
Ramandeep Singh,2022-2025,27,4,6.4,0,63,6,Mar-20,10.5,9.45,6.6,0,0,
,,,,,,,,,,,,,,
Anukul Roy,2019-2025,11,10,26.4,0,218,6,Feb-19,36.33,8.17,26.6,0,0,
,,,,,,,,,,,,,,
V Sehwag,2008-2015,104,15,22.4,0,235,6,Feb-18,39.16,10.36,22.6,0,0,
,,,,,,,,,,,,,,
OF Smith,2022-2022,6,6,15,0,178,6,Apr-30,29.66,11.86,15,1,0,
,,,,,,,,,,,,,,
TL Suman,2009-2013,43,11,25,0,197,6,Feb-14,32.83,7.88,25,0,0,
,,,,,,,,,,,,,,
JE Taylor,2011-2011,5,5,19.3,0,157,6,Mar-30,26.16,8.05,19.5,0,0,
,,,,,,,,,,,,,,
S Tyagi,2009-2010,14,14,34.5,0,295,6,Feb-18,49.16,8.46,34.8,0,0,
,,,,,,,,,,,,,,
Y Venugopal Rao,2008-2014,64,20,36,0,337,6,Feb-23,56.16,9.36,36,0,0,
,,,,,,,,,,,,,,
DJ Willey,2018-2023,11,11,36,1,272,6,Feb-16,45.33,7.55,36,0,0,
,,,,,,,,,,,,,,
S Ladda,2010-2016,9,9,23,0,224,5,Feb-44,44.8,9.73,27.6,0,0,
,,,,,,,,,,,,,,
Akash Singh,2021-2023,7,7,23,0,227,5,Feb-40,45.4,9.86,27.6,0,0,
,,,,,,,,,,,,,,
Azmatullah Omarzai,2024-2025,10,9,27,0,254,5,Feb-27,50.8,9.4,32.4,0,0,
,,,,,,,,,,,,,,
A Choudhary,2017-2017,5,5,16.5,2,144,5,Feb-17,28.8,8.55,20.2,0,0,
,,,,,,,,,,,,,,
PD Collingwood,2010-2010,8,6,14.5,0,101,5,Feb-19,20.2,6.8,17.8,0,0,
,,,,,,,,,,,,,,
M de Lange,2012-2015,5,5,18,1,169,5,Mar-34,33.8,9.38,21.6,0,0,
,,,,,,,,,,,,,,
TM Dilshan,2008-2013,51,25,45.1,0,366,5,01-Mar,73.2,8.1,54.2,0,0,
,,,,,,,,,,,,,,
AP Dole,2010-2010,3,3,11,0,112,5,Feb-36,22.4,10.18,13.2,0,0,
,,,,,,,,,,,,,,
Shivam Dube,2019-2025,75,14,18.4,0,180,5,Feb-15,36,9.64,22.4,0,0,
,,,,,,,,,,,,,,
FH Edwards,2009-2009,6,6,23.2,1,154,5,Feb-27,30.8,6.6,28,0,0,
,,,,,,,,,,,,,,
RV Gomez,2011-2013,13,9,16,1,129,5,Feb-14,25.8,8.06,19.2,0,0,
,,,,,,,,,,,,,,
Gurkeerat Singh,2012-2020,41,6,13,0,97,5,Feb-15,19.4,7.46,15.6,0,0,
,,,,,,,,,,,,,,
Spencer Johnson,2024-2025,9,9,27.2,0,284,5,Feb-25,56.8,10.39,32.8,0,0,
,,,,,,,,,,,,,,
Anshul Kamboj,2024-2025,7,7,20,0,189,5,Jan-16,37.8,9.45,24,0,0,
,,,,,,,,,,,,,,
KMDN Kulasekara,2011-2012,5,5,17,0,120,5,02-Oct,24,7.05,20.4,0,0,
,,,,,,,,,,,,,,
Eshan Malinga,2025-2025,3,3,11,0,114,5,Feb-36,22.8,10.36,13.2,0,0,
,,,,,,,,,,,,,,
KL Nagarkoti,2020-2022,12,11,30,0,285,5,Feb-13,57,9.5,36,0,0,
,,,,,,,,,,,,,,
S Narwal,2010-2013,7,6,17.4,0,202,5,Mar-36,40.4,11.43,21.2,0,0,
,,,,,,,,,,,,,,
Romario Shepherd,2022-2025,13,10,24,0,290,5,Feb-42,58,12.08,28.8,0,0,
,,,,,,,,,,,,,,
Shoaib Ahmed,2009-2009,8,7,17,0,152,5,Feb-20,30.4,8.94,20.4,0,0,
,,,,,,,,,,,,,,
Shoaib Akhtar,2008-2008,3,3,7,0,54,5,04-Nov,10.8,7.71,8.4,1,0,
,,,,,,,,,,,,,,
HR Shokeen,2022-2023,13,13,34,0,314,5,Feb-34,62.8,9.23,40.8,0,0,
,,,,,,,,,,,,,,
R Shukla,2012-2014,7,7,20,0,208,5,Feb-28,41.6,10.4,24,0,0,
,,,,,,,,,,,,,,
O Thomas,2019-2019,4,4,10,0,79,5,02-Jun,15.8,7.9,12,0,0,
,,,,,,,,,,,,,,
RJW Topley,2023-2024,5,5,17,0,182,5,Feb-27,36.4,10.7,20.4,0,0,
,,,,,,,,,,,,,,
SB Wagh,2010-2011,8,8,17,0,137,5,Mar-16,27.4,8.05,20.4,0,0,
,,,,,,,,,,,,,,
Zeeshan Ansari,2025-2025,7,7,24.5,0,239,5,Mar-42,47.8,9.62,29.8,0,0,
,,,,,,,,,,,,,,
SB Bangar,2008-2009,12,9,25,0,219,4,Feb-34,54.75,8.76,37.5,0,0,
,,,,,,,,,,,,,,
Shikhar Dhawan,2008-2024,222,6,8,0,66,4,01-Jul,16.5,8.25,12,0,0,
,,,,,,,,,,,,,,
D du Preez,2009-2009,2,2,7,1,56,4,Mar-32,14,8,10.5,0,0,
,,,,,,,,,,,,,,
Virat Kohli,2008-2025,260,26,41.5,0,368,4,Feb-25,92,8.79,62.7,0,0,
,,,,,,,,,,,,,,
WA Mota,2008-2009,12,7,12,0,97,4,01-Jun,24.25,8.08,18,0,0,
,,,,,,,,,,,,,,
DJ Muthuswami,2015-2015,6,6,14,0,101,4,Feb-18,25.25,7.21,21,0,0,
,,,,,,,,,,,,,,
Y Nagar,2009-2012,25,8,11,0,125,4,Feb-20,31.25,11.36,16.5,0,0,
,,,,,,,,,,,,,,
Riyan Parag,2019-2025,79,26,39.1,0,392,4,01-Jul,98,10,58.7,0,0,
,,,,,,,,,,,,,,
Parvez Rasool,2013-2016,11,11,33,0,271,4,Jan-20,67.75,8.21,49.5,0,0,
,,,,,,,,,,,,,,
LE Plunkett,2018-2018,7,7,25,0,225,4,Mar-17,56.25,9,37.5,0,0,
,,,,,,,,,,,,,,
Shivam Sharma,2014-2015,5,5,19,0,165,4,Feb-26,41.25,8.68,28.5,0,0,
,,,,,,,,,,,,,,
Tristan Stubbs,2022-2025,28,5,6,0,69,4,02-Nov,17.25,11.5,9,0,0,
,,,,,,,,,,,,,,
DP Vijaykumar,2008-2008,9,9,25.2,0,199,4,Jan-17,49.75,7.85,38,0,0,
,,,,,,,,,,,,,,
Yudhvir Singh,2023-2025,7,7,17,0,180,4,Feb-19,45,10.58,25.5,0,0,
,,,,,,,,,,,,,,
L Ablish,2010-2011,3,3,7,0,75,3,Feb-17,25,10.71,14,0,0,
,,,,,,,,,,,,,,
DAJ Bracewell,2012-2012,1,1,4,0,32,3,Mar-32,10.66,8,8,0,0,
,,,,,,,,,,,,,,
Gagandeep Singh,2008-2008,4,4,14,0,141,3,Jan-33,47,10.07,28,0,0,
,,,,,,,,,,,,,,
GHS Garton,2021-2021,5,5,15,0,135,3,Jan-27,45,9,30,0,0,
,,,,,,,,,,,,,,
RS Hangargekar,2023-2023,2,2,6,0,60,3,Mar-36,20,10,12,0,0,
,,,,,,,,,,,,,,
SM Harwood,2009-2009,3,3,10,0,73,3,Feb-25,24.33,7.3,20,0,0,
,,,,,,,,,,,,,,
JW Hastings,2014-2016,3,3,9.4,1,66,3,02-Jun,22,6.82,19.3,0,0,
,,,,,,,,,,,,,,
Venkatesh Iyer,2021-2025,60,9,13.3,0,143,3,Feb-29,47.66,10.59,27,0,0,
,,,,,,,,,,,,,,
JM Kemp,2010-2010,5,5,7.2,0,54,3,03-Dec,18,7.36,14.6,0,0,
,,,,,,,,,,,,,,
AL Menaria,2011-2013,29,12,18.2,0,144,3,Feb-20,48,7.85,36.6,0,0,
,,,,,,,,,,,,,,
R Ninan,2011-2011,2,2,6,0,65,3,Feb-31,21.66,10.83,12,0,0,
,,,,,,,,,,,,,,
Nitish Kumar Reddy,2023-2025,24,9,18.1,0,207,3,Feb-17,69,11.39,36.3,0,0,
,,,,,,,,,,,,,,
RJ Peterson,2012-2012,5,4,8,0,70,3,Mar-37,23.33,8.75,16,0,0,
,,,,,,,,,,,,,,
JA Richardson,2021-2024,4,4,15,0,157,3,Feb-41,52.33,10.46,30,0,0,
,,,,,,,,,,,,,,
P Sahu,2016-2016,5,5,17.3,0,146,3,Feb-18,48.66,8.34,35,0,0,
,,,,,,,,,,,,,,
K Santokie,2014-2014,2,2,8,0,90,3,Feb-50,30,11.25,16,0,0,
,,,,,,,,,,,,,,
R Sathish,2010-2016,34,14,23.1,0,232,3,01-Nov,77.33,10.01,46.3,0,0,
,,,,,,,,,,,,,,
T Shamsi,2016-2021,5,5,20,0,181,3,Jan-21,60.33,9.05,40,0,0,
,,,,,,,,,,,,,,
Manimaran Siddharth,2024-2025,5,5,16,0,138,3,Feb-39,46,8.62,32,0,0,
,,,,,,,,,,,,,,
Sikandar Raza,2023-2024,9,7,14,0,141,3,Jan-19,47,10.07,28,0,0,
,,,,,,,,,,,,,,
Arjun Tendulkar,2023-2024,5,5,12.1,0,114,3,01-Sep,38,9.36,24.3,0,0,
,,,,,,,,,,,,,,
DJ Thornely,2008-2008,6,4,7,0,40,3,02-Jul,13.33,5.71,14,0,0,
,,,,,,,,,,,,,,
JJ van der Wath,2011-2011,3,3,12,0,129,3,Feb-49,43,10.75,24,0,0,
,,,,,,,,,,,,,,
KJ Abbott,2016-2016,5,5,16,0,177,2,Jan-38,88.5,11.06,48,0,0,
,,,,,,,,,,,,,,
Abdul Samad,2020-2025,59,6,9.2,0,119,2,01-Sep,59.5,12.75,28,0,0,
,,,,,,,,,,,,,,
FA Allen,2021-2022,5,4,15,1,136,2,Jan-22,68,9.06,45,0,0,
,,,,,,,,,,,,,,
Ankit Soni,2017-2017,7,6,18.1,0,144,2,Jan-16,72,7.92,54.5,0,0,
,,,,,,,,,,,,,,
Ayush Badoni,2022-2025,51,5,4.1,0,36,2,01-May,18,8.64,12.5,0,0,
,,,,,,,,,,,,,,
XC Bartlett,2025-2025,3,3,9,0,84,2,Jan-26,42,9.33,27,0,0,
,,,,,,,,,,,,,,
SM Boland,2016-2016,2,2,7,0,54,2,Feb-31,27,7.71,21,0,0,
,,,,,,,,,,,,,,
SD Chitnis,2008-2012,11,2,6,0,60,2,Feb-40,30,10,18,0,0,
,,,,,,,,,,,,,,
MJ Clarke,2012-2012,6,5,11,0,67,2,01-Dec,33.5,6.09,33,0,0,
,,,,,,,,,,,,,,
MJ Dagar,2023-2024,8,8,22.5,0,203,2,Jan-23,101.5,8.89,68.5,0,0,
,,,,,,,,,,,,,,
ND Doshi,2010-2011,4,4,9.2,0,79,2,Jan-15,39.5,8.46,28,0,0,
,,,,,,,,,,,,,,
A Flintoff,2009-2009,3,3,11,0,105,2,01-Nov,52.5,9.54,33,0,0,
,,,,,,,,,,,,,,
Travis Head,2016-2025,34,6,9.4,0,113,2,Feb-30,56.5,11.68,29,0,0,
,,,,,,,,,,,,,,
MJ Henry,2017-2024,6,6,17,0,181,2,Jan-28,90.5,10.64,51,0,0,
,,,,,,,,,,,,,,
D Kalyankrishna,2008-2008,3,3,8,0,87,2,Jan-30,43.5,10.87,24,0,0,
,,,,,,,,,,,,,,
V Kaverappa,2024-2024,1,1,4,0,36,2,Feb-36,18,9,12,0,0,
,,,,,,,,,,,,,,
MA Khote,2008-2008,4,2,5,0,51,2,Feb-29,25.5,10.2,15,0,0,
,,,,,,,,,,,,,,
SC Kuggeleijn,2019-2019,2,2,8,0,71,2,Feb-37,35.5,8.87,24,0,0,
,,,,,,,,,,,,,,
KA Maharaj,2024-2024,2,2,6,0,39,2,Feb-23,19.5,6.5,18,0,0,
,,,,,,,,,,,,,,
Kamindu Mendis,2025-2025,3,3,5,0,42,2,01-Apr,21,8.4,15,0,0,
,,,,,,,,,,,,,,
Mohammad Hafeez,2008-2008,8,4,10,0,68,2,01-Aug,34,6.8,30,0,0,
,,,,,,,,,,,,,,
C Nanda,2009-2009,3,3,8,0,57,2,01-Apr,28.5,7.12,24,0,0,
,,,,,,,,,,,,,,
GD Phillips,2021-2023,8,4,5,0,40,2,01-Oct,20,8,15,0,0,
,,,,,,,,,,,,,,
Prince Yadav,2025-2025,5,5,18.5,0,182,2,Jan-29,91,9.66,56.5,0,0,
,,,,,,,,,,,,,,
AU Rashid,2021-2023,3,3,10,0,91,2,Feb-23,45.5,9.1,30,0,0,
,,,,,,,,,,,,,,
Sachin Baby,2013-2021,19,2,1.4,0,8,2,02-Apr,4,4.8,5,0,0,
,,,,,,,,,,,,,,
JPR Scantlebury-Searles,2018-2018,4,3,7,0,89,2,Jan-24,44.5,12.71,21,0,0,
,,,,,,,,,,,,,,
Shoaib Malik,2008-2008,7,5,8.3,0,85,2,01-Jun,42.5,10,25.5,0,0,
,,,,,,,,,,,,,,
PH Solanki,2022-2022,2,2,6,0,38,2,Feb-20,19,6.33,18,0,0,
,,,,,,,,,,,,,,
P Suyal,2013-2015,5,5,16,0,151,2,Jan-21,75.5,9.43,48,0,0,
,,,,,,,,,,,,,,
RN ten Doeschate,2011-2015,29,10,13,0,94,2,01-Jul,47,7.23,39,0,0,
,,,,,,,,,,,,,,
A Uniyal,2010-2010,2,2,6,0,66,2,Feb-41,33,11,18,0,0,
,,,,,,,,,,,,,,
LJ Wright,2012-2013,7,6,11.5,0,124,2,01-Dec,62,10.47,35.5,0,0,
,,,,,,,,,,,,,,
K Yadav,2021-2023,3,3,9,0,84,2,Jan-18,42,9.33,27,0,0,
,,,,,,,,,,,,,,
DNT Zoysa,2008-2008,3,3,11,0,99,2,Jan-30,49.5,9,33,0,0,
,,,,,,,,,,,,,,
SA Abbott,2015-2022,3,3,9,0,104,1,Jan-47,104,11.55,54,0,0,
,,,,,,,,,,,,,,
SS Agarwal,2017-2017,1,1,4,0,42,1,Jan-42,42,10.5,24,0,0,
,,,,,,,,,,,,,,
Corbin Bosch,2025-2025,1,1,4,0,26,1,Jan-26,26,6.5,24,0,0,
,,,,,,,,,,,,,,
Dewald Brevis,2022-2025,12,1,0.3,0,8,1,01-Aug,8,16,3,0,0,
,,,,,,,,,,,,,,
LA Carseldine,2009-2009,5,1,1,0,6,1,01-Jun,6,6,6,0,0,
,,,,,,,,,,,,,,
P Dubey,2020-2023,4,4,11,0,91,1,Jan-19,91,8.27,66,0,0,
,,,,,,,,,,,,,,
Aaron Finch,2010-2022,92,5,7.1,0,67,1,01-Nov,67,9.34,43,0,0,
,,,,,,,,,,,,,,
B Geeves,2008-2008,2,2,8,0,91,1,Jan-50,91,11.37,48,0,0,
,,,,,,,,,,,,,,
AC Gilchrist,2008-2013,80,1,0.1,0,0,1,1/0,0,0,1,0,0,
,,,,,,,,,,,,,,
RJ Gleeson,2024-2024,2,2,7.5,0,71,1,Jan-30,71,9.06,47,0,0,
,,,,,,,,,,,,,,
Harmeet Singh,2013-2013,1,1,4,0,34,1,Jan-34,34,8.5,24,0,0,
,,,,,,,,,,,,,,
T Henderson,2009-2009,2,2,6,0,40,1,Jan-30,40,6.66,36,0,0,
,,,,,,,,,,,,,,
AJ Hosein,2023-2023,1,1,4,0,40,1,Jan-40,40,10,24,0,0,
,,,,,,,,,,,,,,
D Jansen,2023-2023,1,1,4,0,53,1,Jan-53,53,13.25,24,0,0,
,,,,,,,,,,,,,,
AA Jhunjhunwala,2010-2012,21,10,14.1,0,129,1,Jan-13,129,9.1,85,0,0,
,,,,,,,,,,,,,,
