Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
"(Chennai Super Kings, Deccan Chargers, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,
J Botha,2009-2015,34,34,115.4,0,800,25,3/6,32.00,6.91,27.7,0,0,
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
R Dhawan,2013-2024,39,36,110.2,1,891,25,2/14,35.64,8.07,26.4,0,0,
"(Kings XI Punjab, Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
B Lee,2008-2013,38,38,145.5,3,1095,25,3/15,43.80,7.50,35.0,0,0,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
Naveen-ul-Haq,2023-2024,17,17,64.3,0,591,25,4/38,23.64,9.16,15.4,1,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
L Ngidi,2018-2021,14,14,54.0,2,448,25,4/10,17.92,8.29,12.9,1,0,
(Chennai Super Kings),,,,,,,,,,,,,,
SK Raina,2008-2021,204,69,151.2,0,1118,25,2/0,44.72,7.38,36.3,0,0,
"(Chennai Super Kings, Gujarat Lions)",,,,,,,,,,,,,,
R Sai Kishore,2022-2025,19,19,55.5,0,470,25,4/33,18.80,8.41,13.4,1,0,
(Gujarat Titans),,,,,,,,,,,,,,
Yash Thakur,2023-2025,21,21,73.5,1,770,25,5/30,30.80,10.42,17.7,1,1,
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,
AS Rajpoot,2013-2020,29,29,88.1,1,814,24,5/14,33.91,9.23,22.0,0,1,
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
JP Duminy,2009-2018,83,49,113.0,0,834,23,4/17,36.26,7.38,29.4,1,0,
"(Deccan Chargers, Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,
GB Hogg,2012-2016,21,21,76.2,1,570,23,4/29,24.78,7.46,19.9,1,0,
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
NA Saini,2019-2023,32,32,109.4,1,974,23,3/40,42.34,8.88,28.6,0,0,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SW Tait,2010-2013,21,21,78.5,1,635,23,3/13,27.60,8.05,20.5,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
Basil Thampi,2017-2022,25,25,86.5,1,846,22,3/29,38.45,9.74,23.6,0,0,
"(Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
STR Binny,2010-2019,95,63,99.0,0,758,22,2/14,34.45,7.65,27.0,0,0,
"(Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
BW Hilfenhaus,2012-2014,17,17,62.0,2,479,22,3/27,21.77,7.72,16.9,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
Sohail Tanvir,2008-2008,11,11,41.1,0,266,22,6/14,12.09,6.46,11.2,1,1,
(Rajasthan Royals),,,,,,,,,,,,,,
K Gowtham,2018-2024,35,35,98.0,1,808,21,2/12,38.47,8.24,28.0,0,0,
"(Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,
AS Joseph,2019-2024,22,22,72.2,1,691,21,6/12,32.90,9.55,20.6,0,1,
"(Gujarat Titans, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
VY Mahesh,2008-2012,17,17,56.3,0,499,21,4/36,23.76,8.83,16.1,1,0,
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,
Shahbaz Ahmed,2020-2025,56,43,91.0,0,859,21,3/7,40.90,9.43,26.0,0,0,
"(Lucknow Super Giants, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
RE van der Merwe,2009-2013,21,21,73.5,1,498,21,3/20,23.71,6.74,21.0,0,0,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Mujeeb Ur Rahman,2018-2025,20,20,74.2,0,620,20,3/27,31.00,8.34,22.3,0,0,
"(Kings XI Punjab, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
C Sakariya,2021-2025,20,20,74.0,1,638,20,3/31,31.90,8.62,22.2,0,0,
"(Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
A Symonds,2008-2011,39,30,87.5,0,674,20,3/21,33.70,7.67,26.3,0,0,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
JP Behrendorff,2019-2023,17,17,61.0,0,552,19,3/23,29.05,9.04,19.2,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
NT Ellis,2021-2025,17,17,63.0,0,546,19,4/30,28.73,8.66,19.8,1,0,
"(Chennai Super Kings, Punjab Kings)",,,,,,,,,,,,,,
A Madhwal,2023-2024,13,13,43.4,0,424,19,5/5,22.31,9.70,13.7,1,1,
(Mumbai Indians),,,,,,,,,,,,,,
AD Mascarenhas,2008-2013,13,13,51.2,1,356,19,5/25,18.73,6.93,16.2,0,1,
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
RP Meredith,2021-2023,18,18,64.4,0,612,19,2/24,32.21,9.46,20.4,0,0,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
KW Richardson,2013-2021,15,15,55.5,0,472,19,3/13,24.84,8.45,17.6,0,0,
"(Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MJ Santner,2019-2025,27,27,89.3,0,658,19,2/13,34.63,7.35,28.2,0,0,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
J Suchith,2015-2022,22,21,70.0,0,602,19,2/12,31.68,8.60,22.1,0,0,
"(Delhi Capitals, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Anureet Singh,2009-2018,23,22,68.4,0,623,18,3/23,34.61,9.07,22.8,0,0,
"(Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
A Ashish Reddy,2012-2016,31,20,43.4,0,396,18,3/25,22.00,9.06,14.5,0,0,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
CH Gayle,2009-2021,140,38,92.2,0,729,18,3/21,40.50,7.89,30.7,0,0,
"(Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
IC Pandey,2013-2015,25,24,77.0,4,591,18,2/23,32.83,7.67,25.6,0,0,
"(Chennai Super Kings, Pune Warriors)",,,,,,,,,,,,,,
BB Sran,2015-2019,24,24,80.3,0,757,18,3/28,42.05,9.40,26.8,0,0,
"(Kings XI Punjab, Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
WPUJC Vaas,2008-2010,13,13,47.0,2,355,18,3/21,19.72,7.55,15.6,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
Bipul Sharma,2010-2017,33,28,71.0,0,572,17,2/13,33.64,8.05,25.0,0,0,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
CRD Fernando,2008-2010,10,10,39.0,0,294,17,4/18,17.29,7.53,13.7,1,0,
(Mumbai Indians),,,,,,,,,,,,,,
BJ Hodge,2008-2014,66,20,39.0,0,303,17,4/13,17.82,7.76,13.7,1,0,
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
Mukesh Choudhary,2022-2025,16,16,52.3,0,522,17,4/46,30.70,9.94,18.5,1,0,
(Chennai Super Kings),,,,,,,,,,,,,,
C Green,2023-2024,29,29,73.1,0,664,16,2/12,41.50,9.07,27.4,0,0,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
D Wiese,2015-2023,17,15,49.2,0,440,16,4/33,27.50,8.91,18.5,1,0,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
YA Abdulla,2009-2010,11,11,34.5,1,307,15,4/31,20.46,8.81,13.9,2,0,
(Kings XI Punjab),,,,,,,,,,,,,,
Kartik Tyagi,2020-2024,20,20,70.2,0,713,15,2/29,47.53,10.13,28.1,0,0,
"(Gujarat Titans, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Mohammad Nabi,2017-2024,24,23,69.3,0,517,15,4/11,34.46,7.43,27.8,1,0,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
RG Sharma,2008-2025,266,32,56.3,0,453,15,4/6,30.20,8.01,22.6,1,0,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
LR Shukla,2008-2014,47,27,52.2,0,447,15,3/6,29.80,8.54,20.9,0,0,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
JR Hopes,2008-2011,20,20,60.0,0,548,14,2/2,39.14,9.13,25.7,0,0,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
R Rampaul,2013-2014,12,12,43.4,4,298,14,3/31,21.28,6.82,18.7,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
DR Sams,2020-2022,16,16,60.0,0,523,14,4/30,37.35,8.71,25.7,1,0,
"(Delhi Capitals, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
KR Sen,2022-2024,12,12,40.1,0,387,14,4/20,27.64,9.63,17.2,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,
SJ Srivastava,2010-2011,14,14,47.0,0,441,14,2/20,31.50,9.38,20.1,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
Suyash Sharma,2023-2025,22,22,78.0,0,651,14,3/30,46.50,8.34,33.4,0,0,
"(Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
AC Thomas,2011-2012,15,15,52.3,2,406,14,3/22,29.00,7.73,22.5,0,0,
(Pune Warriors),,,,,,,,,,,,,,
CR Brathwaite,2016-2019,16,16,42.2,0,379,13,3/47,29.15,8.95,19.5,0,0,
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
G Coetzee,2024-2024,10,10,33.3,0,341,13,4/34,26.23,10.17,15.4,1,0,
(Mumbai Indians),,,,,,,,,,,,,,
TK Curran,2018-2021,13,13,39.4,0,430,13,3/29,33.07,10.84,18.3,0,0,
"(Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
ST Jayasuriya,2008-2010,30,21,49.0,1,390,13,3/14,30.00,7.95,22.6,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
S Lamichhane,2018-2019,9,9,35.0,0,292,13,3/36,22.46,8.34,16.1,0,0,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,
CK Langeveldt,2009-2011,7,7,26.0,0,187,13,3/15,14.38,7.19,12.0,0,0,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
LS Livingstone,2019-2025,46,27,52.0,0,469,13,3/27,36.07,9.01,24.0,0,0,
"(Punjab Kings, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
RR Powar,2008-2012,27,26,71.0,0,527,13,2/11,40.53,7.42,32.7,0,0,
"(Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,
V Vyshak,2023-2025,12,12,41.3,0,423,13,3/20,32.53,10.19,19.1,0,0,
"(Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
AN Ahmed,2010-2015,17,17,57.2,1,498,12,2/13,41.50,8.68,28.6,0,0,
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Ankit Sharma,2012-2018,22,21,61.1,0,450,12,2/20,37.50,7.35,30.5,0,0,
"(Deccan Chargers, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
BA Bhatt,2011-2013,17,15,49.2,0,397,12,4/22,33.08,8.04,24.6,1,0,
(Kings XI Punjab),,,,,,,,,,,,,,
PVD Chameera,2022-2025,16,16,56.0,0,527,12,2/17,43.91,9.41,28.0,0,0,
"(Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants)",,,,,,,,,,,,,,
Joginder Sharma,2008-2011,16,15,42.4,0,419,12,2/27,34.91,9.82,21.3,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
Karanveer Singh,2014-2015,9,9,34.0,0,321,12,4/54,26.75,9.44,17.0,1,0,
(Kings XI Punjab),,,,,,,,,,,,,,
K Kartikeya,2022-2025,15,15,45.0,0,385,12,2/22,32.08,8.55,22.5,0,0,
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
GD McGrath,2008-2008,14,14,54.0,2,357,12,4/29,29.75,6.61,27.0,1,0,
(Delhi Daredevils),,,,,,,,,,,,,,
R McLaren,2010-2013,18,18,59.0,0,542,12,2/28,45.16,9.18,29.5,0,0,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
VRV Singh,2008-2010,19,18,60.0,0,542,12,3/29,45.16,9.03,30.0,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
Umar Gul,2008-2008,6,6,22.3,1,184,12,4/23,15.33,8.17,11.2,1,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Abhishek Sharma,2018-2025,72,30,53.0,0,471,11,2/4,42.81,8.88,28.9,0,0,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
CJ Anderson,2014-2018,30,22,49.3,0,518,11,2/18,47.09,10.46,27.0,0,0,
"(Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
S Badree,2013-2017,12,12,43.0,1,319,11,4/9,29.00,7.41,23.4,1,0,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RS Bopara,2009-2015,24,14,34.2,0,292,11,3/31,26.54,8.50,18.7,0,0,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
A Chandila,2012-2013,12,12,39.0,0,242,11,4/13,22.00,6.20,21.2,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,
JB Little,2023-2024,11,11,38.0,0,339,11,4/45,30.81,8.92,20.7,1,0,
(Gujarat Titans),,,,,,,,,,,,,,
OC McCoy,2022-2023,8,8,26.5,0,250,11,3/23,22.72,9.31,14.6,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
AB McDonald,2009-2013,10,10,31.0,0,261,11,2/25,23.72,8.41,16.9,0,0,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
TS Mills,2017-2022,10,10,34.5,0,343,11,3/35,31.18,9.84,19.0,0,0,
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Pankaj Singh,2008-2012,17,17,50.0,1,468,11,2/18,42.54,9.36,27.2,0,0,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
JL Pattinson,2020-2020,10,10,35.3,0,320,11,2/19,29.09,9.01,19.3,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
SM Pollock,2008-2008,13,13,46.0,1,301,11,3/12,27.36,6.54,25.0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
DJG Sammy,2013-2015,22,19,39.2,0,350,11,4/22,31.81,8.89,21.4,1,0,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Simarjeet Singh,2022-2025,14,14,40.0,0,400,11,3/26,36.36,10.00,21.8,0,0,
"(Chennai Super Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MA Wood,2018-2023,5,5,20.0,1,179,11,5/14,16.27,8.95,10.9,0,1,
"(Chennai Super Kings, Lucknow Super Giants)",,,,,,,,,,,,,,
Akash Deep,2022-2025,12,12,39.2,1,466,10,3/45,46.60,11.84,23.6,0,0,
"(Lucknow Super Giants, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
BCJ Cutting,2014-2019,21,17,46.5,0,429,10,2/20,42.90,9.16,28.1,0,0,
"(Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SC Ganguly,2008-2012,59,20,46.0,0,363,10,2/21,36.30,7.89,27.6,0,0,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,
DJ Hooda,2015-2025,123,33,62.1,0,531,10,2/16,53.10,8.54,37.3,0,0,
"(Chennai Super Kings, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
B Laughlin,2013-2018,9,9,27.5,0,282,10,2/15,28.20,10.13,16.7,0,0,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
V Pratap Singh,2012-2012,9,9,34.0,0,296,10,2/31,29.60,8.70,20.4,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
N Rana,2016-2025,117,26,32.0,0,270,10,2/11,27.00,8.43,19.2,0,0,
"(Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
Rasikh Salam,2019-2025,13,13,38.3,0,409,10,3/34,40.90,10.62,23.1,0,0,
"(Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
DS Rathi,2025-2025,10,10,40.0,0,310,10,2/30,31.00,7.75,24.0,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
Lalit Yadav,2021-2024,27,19,48.0,0,425,10,2/11,42.50,8.85,28.8,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
KP Appanna,2009-2012,13,13,36.0,0,286,9,4/19,31.77,7.94,24.0,1,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Arshad Khan,2023-2025,15,15,35.2,0,418,9,3/39,46.44,11.83,23.5,0,0,
"(Gujarat Titans, Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,
SE Bond,2010-2010,8,8,31.0,1,224,9,2/24,24.88,7.22,20.6,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
JEC Franklin,2011-2012,20,15,25.1,0,220,9,2/18,24.44,8.74,16.7,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
BE Hendricks,2014-2015,7,7,25.0,0,235,9,3/36,26.11,9.40,16.6,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
KA Jamieson,2021-2021,9,9,28.0,0,269,9,3/41,29.88,9.60,18.6,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Kamran Khan,2009-2011,9,9,26.4,0,224,9,3/18,24.88,8.40,17.7,0,0,
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
AG Murtaza,2010-2013,12,12,44.0,0,313,9,3/15,34.77,7.11,29.3,0,0,
"(Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,
AM Nayar,2008-2014,60,19,38.1,0,322,9,3/13,35.77,8.43,25.4,0,0,
"(Kings XI Punjab, Mumbai Indians, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
V Nigam,2025-2025,10,10,27.0,0,256,9,2/18,28.44,9.48,18.0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
JDP Oram,2008-2013,18,14,39.3,0,349,9,3/32,38.77,8.83,26.3,0,0,
"(Chennai Super Kings, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
P Parameswaran,2011-2012,8,8,25.4,0,224,9,3/30,24.88,8.72,17.1,0,0,
"(Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,
KMA Paul,2019-2019,8,8,27.1,0,237,9,3/17,26.33,8.72,18.1,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
MN Samuels,2012-2017,15,11,35.4,0,284,9,3/39,31.55,7.96,23.7,0,0,
"(Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,
SMSM Senanayake,2013-2013,8,8,32.0,1,209,9,2/26,23.22,6.53,21.3,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Shahid Afridi,2008-2008,10,10,30.0,0,225,9,3/28,25.00,7.50,20.0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
V Shankar,2014-2025,78,22,39.4,0,344,9,2/19,38.22,8.67,26.4,0,0,
"(Chennai Super Kings, Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,
IS Sodhi,2018-2019,8,8,30.1,1,202,9,3/26,22.44,6.69,20.1,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
J Theron,2010-2015,10,10,36.0,0,293,9,2/17,32.55,8.13,24.0,0,0,
"(Deccan Chargers, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
MP Yadav,2024-2025,5,5,16.1,0,125,9,3/14,13.88,7.73,10.7,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
Anand Rajan,2011-2013,8,8,24.5,0,201,8,3/27,25.12,8.09,18.6,0,0,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
KC Cariappa,2015-2019,11,11,36.0,0,348,8,2/16,43.50,9.66,27.0,0,0,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
AA Chavan,2011-2013,13,13,41.2,0,326,8,2/23,40.75,7.88,31.0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
DJ Hussey,2008-2014,64,26,52.5,0,474,8,2/2,59.25,8.97,39.6,0,0,
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
BAW Mendis,2008-2013,10,10,40.0,0,285,8,2/19,35.62,7.12,30.0,0,0,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,
Mohammad Asif,2008-2008,8,8,32.0,0,296,8,2/19,37.00,9.25,24.0,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
JDS Neesham,2014-2022,14,13,36.0,0,334,8,3/12,41.75,9.27,27.0,0,0,
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
JD Ryder,2009-2012,29,16,39.2,1,303,8,2/14,37.87,7.70,29.5,0,0,
"(Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,
S Sandeep Warrier,2019-2024,10,10,28.0,0,253,8,3/15,31.62,9.03,21.0,0,0,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,
SB Styris,2008-2011,12,11,36.0,0,276,8,3/32,34.50,7.66,27.0,0,0,
"(Chennai Super Kings, Deccan Chargers)",,,,,,,,,,,,,,
J Syed Mohammad,2011-2013,11,11,32.0,0,283,8,2/15,35.37,8.84,24.0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
N Thushara,2024-2024,7,7,26.0,0,257,8,3/28,32.12,9.88,19.5,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
T Thushara,2009-2010,6,6,22.3,0,161,8,2/16,20.12,7.15,16.8,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
I Udana,2020-2020,10,10,29.0,0,282,8,2/41,35.25,9.72,21.7,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
J Yadav,2015-2023,20,20,65.0,0,445,8,1/8,55.62,6.84,48.7,0,0,
"(Delhi Daredevils, Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,
P Amarnath,2008-2008,6,6,22.0,0,236,7,2/29,33.71,10.72,18.8,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
KM Asif,2018-2023,7,7,22.1,0,231,7,2/42,33.00,10.42,19.0,0,0,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
N Burger,2024-2024,5,5,17.0,0,145,7,2/29,20.71,8.52,14.5,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
HF Gurney,2019-2019,8,8,27.0,0,238,7,2/25,34.00,8.81,23.1,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
WG Jacks,2024-2025,17,10,20.0,0,178,7,2/14,25.42,8.90,17.1,0,0,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
AF Milne,2016-2022,10,10,34.3,0,327,7,2/21,46.71,9.47,29.5,0,0,
"(Chennai Super Kings, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
A Mithun,2009-2013,16,16,48.0,0,472,7,2/37,67.42,9.83,41.1,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
M Ntini,2008-2008,9,9,35.0,2,242,7,4/21,34.57,6.91,30.0,1,0,
(Chennai Super Kings),,,,,,,,,,,,,,
KP Pietersen,2009-2016,36,13,29.0,0,215,7,2/31,30.71,7.41,24.8,0,0,
"(Delhi Daredevils, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AM Salvi,2009-2011,7,7,25.0,0,200,7,2/19,28.57,8.00,21.4,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
B Stanlake,2017-2018,6,6,24.0,0,200,7,2/21,28.57,8.33,20.5,0,0,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Swapnil Singh,2016-2024,14,14,27.0,0,241,7,2/28,34.42,8.92,23.1,0,0,
"(Kings XI Punjab, Lucknow Super Giants, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
PC Valthaty,2009-2013,23,10,25.1,0,205,7,4/29,29.28,8.14,21.5,1,0,
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
GC Viljoen,2019-2019,6,6,23.0,0,222,7,2/39,31.71,9.65,19.7,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
B Akhil,2008-2011,15,13,31.2,0,242,6,2/17,40.33,7.72,31.3,0,0,
"(Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Ashwani Kumar,2025-2025,3,3,8.0,0,105,6,4/24,17.50,13.12,8.0,1,0,
(Mumbai Indians),,,,,,,,,,,,,,
MG Bracewell,2023-2023,5,5,11.0,0,95,6,2/13,15.83,8.63,11.0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SS Cottrell,2020-2020,6,6,20.0,1,176,6,2/17,29.33,8.80,20.0,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
C de Grandhomme,2017-2019,25,19,36.0,0,319,6,3/4,53.16,8.86,36.0,0,0,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Fazalhaq Farooqi,2022-2025,10,10,35.2,0,344,6,2/32,57.33,9.73,35.3,0,0,
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Jaskaran Singh,2009-2010,8,7,17.0,0,171,6,2/18,28.50,10.05,17.0,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
S Randiv,2011-2011,8,8,29.0,0,223,6,2/24,37.16,7.68,29.0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
S Kaushik,2016-2017,10,10,34.0,0,297,6,3/20,49.50,8.73,34.0,0,0,
(Gujarat Lions),,,,,,,,,,,,,,
K Khejroliya,2018-2025,8,8,23.1,0,246,6,2/33,41.00,10.61,23.1,0,0,
"(Gujarat Titans, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
VS Malik,2009-2014,13,13,34.1,0,261,6,2/14,43.50,7.63,34.1,0,0,
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
