,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Sehwag,2008-2014,6,6,0,121,47,20.16,88,137.5,0,0,1,21,1
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
LRPL Taylor,2008-2010,5,5,1,121,53,30.25,73,165.75,0,1,0,10,7
(Royal Challengers Bangalore),,,,,,,,,,,,,,
STR Binny,2013-2019,14,8,1,120,33,17.14,78,153.84,0,0,0,10,6
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
D Padikkal,2023-2025,5,5,0,113,52,22.6,83,136.14,0,2,0,12,4
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
V Shankar,2017-2024,5,4,0,112,53,28,77,145.45,0,1,0,11,6
"(Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,
PD Salt,2024-2025,5,5,0,111,37,22.2,77,144.15,0,0,0,12,6
"(Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
SA Yadav,2014-2023,8,7,2,108,38,21.6,87,124.13,0,0,0,11,2
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
HH Pandya,2015-2023,6,4,3,107,50,107,66,162.12,0,1,0,7,7
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,
MEK Hussey,2008-2013,4,4,0,106,49,26.5,88,120.45,0,0,0,12,3
(Chennai Super Kings),,,,,,,,,,,,,,
D Wiese,2015-2023,8,6,4,106,47*,53,67,158.2,0,0,0,10,5
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
P Negi,2016-2019,13,11,1,103,32,10.3,88,117.04,0,0,2,7,4
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
W Jaffer,2008-2008,4,4,0,100,50,25,90,111.11,0,1,1,11,2
(Royal Challengers Bangalore),,,,,,,,,,,,,,
YBK Jaiswal,2023-2025,2,2,0,96,49,48,56,171.42,0,0,0,12,5
(Rajasthan Royals),,,,,,,,,,,,,,
R Vinay Kumar,2008-2013,24,10,3,95,25,13.57,89,106.74,0,0,0,5,2
"(Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SO Hetmyer,2019-2025,4,4,0,94,75,23.5,70,134.28,0,1,0,5,6
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
P Kumar,2008-2016,18,12,3,93,34,10.33,86,108.13,0,0,2,8,6
"(Gujarat Lions, Kings XI Punjab, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
LS Livingstone,2019-2025,5,5,1,90,54,22.5,72,125,0,1,0,4,7
"(Punjab Kings, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Gurkeerat Singh,2016-2019,3,3,0,89,65,29.66,69,128.98,0,1,0,11,1
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Anuj Rawat,2023-2024,7,6,3,88,25*,29.33,89,98.87,0,0,0,8,1
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
NV Ojha,2010-2017,7,6,0,87,33,14.5,79,110.12,0,0,1,7,3
"(Delhi Daredevils, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
JD Ryder,2011-2012,2,2,0,85,51,42.5,56,151.78,0,1,0,8,3
(Pune Warriors),,,,,,,,,,,,,,
JM Sharma,2024-2025,5,5,1,85,33,21.25,69,123.18,0,0,0,10,3
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
NT Tilak Varma,2023-2023,1,1,1,84,84*,-,46,182.6,0,1,0,9,4
(Mumbai Indians),,,,,,,,,,,,,,
DP Conway,2023-2023,1,1,0,83,83,83,45,184.44,0,1,0,6,6
(Chennai Super Kings),,,,,,,,,,,,,,
DJ Bravo,2011-2019,8,8,2,82,33*,13.66,51,160.78,0,0,0,7,4
"(Chennai Super Kings, Gujarat Lions)",,,,,,,,,,,,,,
VR Iyer,2023-2024,2,2,0,81,50,40.5,56,144.64,0,1,0,6,4
(Kolkata Knight Riders),,,,,,,,,,,,,,
DC Jurel,2023-2025,2,2,1,81,47,81,50,162,0,0,0,5,5
(Rajasthan Royals),,,,,,,,,,,,,,
R Ashwin,2010-2023,10,7,2,79,33,15.8,51,154.9,0,0,0,7,3
"(Chennai Super Kings, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,
SE Marsh,2008-2017,5,5,0,79,39,15.8,73,108.21,0,0,0,10,1
(Kings XI Punjab),,,,,,,,,,,,,,
S Badrinath,2008-2013,5,4,1,78,47,26,66,118.18,0,0,1,11,2
(Chennai Super Kings),,,,,,,,,,,,,,
TL Suman,2010-2010,1,1,1,78,78*,-,57,136.84,0,1,0,6,3
(Deccan Chargers),,,,,,,,,,,,,,
RS Bopara,2010-2015,2,1,0,77,77,77,50,154,0,1,0,9,2
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,4,4,2,74,28,37,73,101.36,0,0,0,7,1
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,
H Klaasen,2019-2024,2,2,0,73,67,36.5,38,192.1,0,1,0,2,7
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SP Goswami,2008-2018,4,2,0,72,52,36,66,109.09,0,1,0,8,1
"(Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MK Tiwary,2010-2017,5,5,1,71,27,17.75,58,122.41,0,0,1,6,2
"(Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,
R McLaren,2010-2013,3,3,0,70,40,23.33,77,90.9,0,0,0,5,0
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
S Dube,2019-2024,3,3,1,68,52,34,47,144.68,0,1,0,2,6
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
IK Pathan,2008-2014,5,5,4,67,24,67,43,155.81,0,0,0,6,3
"(Delhi Daredevils, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Azhar Mahmood,2012-2013,2,2,0,63,61,31.5,45,140,0,1,0,8,1
(Kings XI Punjab),,,,,,,,,,,,,,
MV Boucher,2008-2011,10,8,2,63,18,10.5,66,95.45,0,0,0,6,1
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Iqbal Abdulla,2011-2017,6,4,3,62,33*,62,49,126.53,0,0,0,8,1
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
LMP Simmons,2015-2017,2,2,0,62,59,31,50,124,0,1,0,9,2
(Mumbai Indians),,,,,,,,,,,,,,
R Ravindra,2024-2024,1,1,0,61,61,61,37,164.86,0,1,0,5,3
(Chennai Super Kings),,,,,,,,,,,,,,
JJ Roy,2018-2023,2,2,0,61,56,30.5,45,135.55,0,1,0,4,5
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
M Vijay,2010-2016,7,7,0,61,32,8.71,57,107.01,0,0,0,5,3
"(Chennai Super Kings, Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
OA Shah,2012-2012,1,1,0,60,60,60,26,230.76,0,1,0,5,5
(Rajasthan Royals),,,,,,,,,,,,,,
Sachin Baby,2016-2016,7,4,2,59,25*,29.5,34,173.52,0,0,1,5,4
(Royal Challengers Bangalore),,,,,,,,,,,,,,
UBT Chand,2015-2015,1,1,0,58,58,58,37,156.75,0,1,0,8,2
(Mumbai Indians),,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,4,4,1,58,47*,19.33,38,152.63,0,0,1,3,4
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Washington Sundar,2018-2019,7,5,2,58,35,19.33,31,187.09,0,0,1,4,4
(Royal Challengers Bangalore),,,,,,,,,,,,,,
DJ Hussey,2008-2014,3,2,0,57,45,28.5,41,139.02,0,0,0,3,4
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
AB McDonald,2010-2013,4,4,1,57,30,19,43,132.55,0,0,1,6,3
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
B Sai Sudharsan,2024-2025,2,2,0,55,49,27.5,50,110,0,0,0,7,1
(Gujarat Titans),,,,,,,,,,,,,,
ST Jayasuriya,2008-2008,1,1,0,54,54,54,37,145.94,0,1,0,4,4
(Mumbai Indians),,,,,,,,,,,,,,
NLTC Perera,2013-2016,2,2,0,54,40,27,32,168.75,0,0,0,2,5
"(Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
KP Pietersen,2010-2014,2,2,0,54,33,27,45,120,0,0,0,3,2
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
N Wadhera,2023-2025,2,2,1,54,33*,54,32,168.75,0,0,0,4,5
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
A Symonds,2010-2010,1,1,1,53,53*,-,24,220.83,0,1,0,5,3
(Deccan Chargers),,,,,,,,,,,,,,
R Tewatia,2014-2025,6,4,3,53,35,53,37,143.24,0,0,0,8,1
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Rajasthan Royals)",,,,,,,,,,,,,,
VVS Laxman,2008-2008,1,1,0,52,52,52,44,118.18,0,1,0,7,0
(Deccan Chargers),,,,,,,,,,,,,,
CA Pujara,2010-2013,6,4,0,52,19,13,49,106.12,0,0,0,4,3
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
BCJ Cutting,2016-2018,2,2,2,51,39*,-,21,242.85,0,0,0,4,5
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
N Saini,2012-2012,1,1,0,50,50,50,36,138.88,0,1,0,5,0
(Kings XI Punjab),,,,,,,,,,,,,,
AD Nath,2016-2019,5,4,0,49,24,12.25,45,108.88,0,0,0,5,1
"(Gujarat Lions, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SC Ganguly,2008-2012,3,3,0,49,33,16.33,52,94.23,0,0,0,4,2
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,
WG Jacks,2024-2024,3,3,0,49,41,16.33,36,136.11,0,0,0,4,2
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
GC Smith,2008-2008,1,1,0,49,49,49,42,116.66,0,0,0,8,0
(Rajasthan Royals),,,,,,,,,,,,,,
RT Ponting,2008-2013,2,2,0,48,28,24,53,90.56,0,0,0,2,2
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
DJ Harris,2012-2012,1,1,0,47,47,47,41,114.63,0,0,0,2,4
(Deccan Chargers),,,,,,,,,,,,,,
ML Hayden,2008-2010,2,2,0,45,32,22.5,47,95.74,0,0,0,7,0
(Chennai Super Kings),,,,,,,,,,,,,,
Z Khan,2008-2017,25,10,6,45,17*,11.25,48,93.75,0,0,2,5,0
"(Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MA Starc,2014-2025,12,4,2,45,29,22.5,39,115.38,0,0,0,5,0
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RA Tripathi,2017-2018,2,2,1,45,31,45,28,160.71,0,0,0,4,2
"(Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,
JP Faulkner,2013-2017,3,2,1,44,41*,44,24,183.33,0,0,0,3,3
"(Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,
M Kaif,2008-2012,8,5,2,44,15,14.66,44,100,0,0,0,4,0
"(Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
EJG Morgan,2010-2016,7,5,1,44,22*,11,45,97.77,0,0,0,4,0
"(Kolkata Knight Riders, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MC Henriques,2013-2016,6,5,3,42,19,21,41,102.43,0,0,0,6,0
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
JA Morkel,2008-2014,6,4,1,41,19,13.66,37,110.81,0,0,0,1,3
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
T Stubbs,2024-2025,2,2,1,41,38*,41,27,151.85,0,0,0,4,1
(Delhi Capitals),,,,,,,,,,,,,,
MJ Guptill,2017-2019,2,2,0,39,30,19.5,33,118.18,0,0,0,3,2
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Prabhsimran Singh,2024-2025,2,2,0,38,25,19,26,146.15,0,0,0,4,2
(Punjab Kings),,,,,,,,,,,,,,
S Rana,2014-2014,3,3,2,38,18,38,36,105.55,0,0,0,3,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Abdul Samad,2024-2024,1,1,1,37,37*,-,10,370,0,0,0,4,3
(Sunrisers Hyderabad),,,,,,,,,,,,,,
AD Hales,2018-2018,1,1,0,37,37,37,24,154.16,0,0,0,2,3
(Sunrisers Hyderabad),,,,,,,,,,,,,,
M Shahrukh Khan,2024-2025,2,1,0,37,37,37,24,154.16,0,0,0,5,1
(Gujarat Titans),,,,,,,,,,,,,,
Shahbaz Ahmed,2023-2024,7,4,1,36,20*,12,31,116.12,0,0,0,3,1
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
A Ashish Reddy,2012-2016,4,2,0,35,32,17.5,22,159.09,0,0,0,2,3
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Abhishek Sharma,2024-2024,1,1,0,34,34,34,22,154.54,0,0,0,2,2
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SW Billings,2017-2018,2,2,0,34,25,17,26,130.76,0,0,0,3,1
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,
MN Samuels,2012-2012,1,1,0,34,34,34,20,170,0,0,0,1,2
(Pune Warriors),,,,,,,,,,,,,,
S Aravind,2011-2017,19,5,3,33,14*,16.5,37,89.18,0,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
IR Jaggi,2017-2017,2,2,1,33,28,33,39,84.61,0,0,0,3,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
KC Sangakkara,2010-2013,3,2,1,33,23,33,27,122.22,0,0,0,3,1
"(Deccan Chargers, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
KV Sharma,2014-2024,9,3,2,33,26*,33,22,150,0,0,0,4,1
"(Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
AK Markram,2024-2024,1,1,1,32,32*,-,17,188.23,0,0,0,2,2
(Sunrisers Hyderabad),,,,,,,,,,,,,,
HV Patel,2012-2024,23,8,1,31,10,4.42,24,129.16,0,0,2,2,2
"(Delhi Daredevils, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RR Sarwan,2008-2008,1,1,0,31,31,31,29,106.89,0,0,0,4,1
(Kings XI Punjab),,,,,,,,,,,,,,
A Badoni,2023-2024,2,2,0,30,30,15,27,111.11,0,0,1,4,0
(Lucknow Super Giants),,,,,,,,,,,,,,
SE Rutherford,2025-2025,1,1,1,30,30*,-,18,166.66,0,0,0,1,3
(Gujarat Titans),,,,,,,,,,,,,,
SD Hope,2024-2024,1,1,0,29,29,29,23,126.08,0,0,0,4,0
(Delhi Capitals),,,,,,,,,,,,,,
SS Prabhudessai,2023-2023,3,3,0,29,19,9.66,22,131.81,0,0,1,1,2
(Royal Challengers Bangalore),,,,,,,,,,,,,,
RR Rossouw,2014-2015,4,4,0,29,14,7.25,37,78.37,0,0,1,2,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
BA Stokes,2017-2018,2,2,0,29,27,14.5,24,120.83,0,0,0,2,1
"(Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,
VH Zol,2014-2014,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
J Fraser-McGurk,2024-2025,2,2,0,28,21,14,14,200,0,0,0,3,2
(Delhi Capitals),,,,,,,,,,,,,,
PP Shaw,2019-2023,2,2,0,28,28,14,24,116.66,0,0,1,5,0
(Delhi Capitals),,,,,,,,,,,,,,
N Jagadeesan,2023-2023,1,1,0,27,27,27,29,93.1,0,0,0,4,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
S Sriram,2010-2010,1,1,0,27,27,27,29,93.1,0,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
R Bhatia,2008-2016,6,3,2,26,13,26,12,216.66,0,0,0,3,1
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,
MG Bracewell,2023-2023,2,1,0,26,26,26,16,162.5,0,0,0,5,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
PP Chawla,2008-2023,14,4,2,26,13*,13,19,136.84,0,0,0,1,2
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
Ishan Kishan,2017-2023,3,3,0,26,16,8.66,25,104,0,0,1,6,0
"(Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,
KB Arun Karthik,2011-2013,8,3,1,25,19*,12.5,26,96.15,0,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
M Klinger,2011-2011,1,1,0,24,24,24,25,96,0,0,0,3,0
(Kochi Tuskers Kerala),,,,,,,,,,,,,,
B Kumar,2012-2025,13,7,5,24,8,12,37,64.86,0,0,0,3,0
"(Pune Warriors, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MR Marsh,2010-2023,3,2,0,24,24,12,27,88.88,0,0,1,0,2
"(Deccan Chargers, Delhi Capitals, Pune Warriors)",,,,,,,,,,,,,,
DL Vettori,2011-2012,10,3,0,24,20,8,18,133.33,0,0,0,3,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
VR Aaron,2014-2019,14,4,3,23,17*,23,19,121.05,0,0,0,1,2
"(Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SM Curran,2024-2024,1,1,0,23,23,23,17,135.29,0,0,0,3,0
(Punjab Kings),,,,,,,,,,,,,,
A Nortje,2023-2023,1,1,1,23,23*,-,14,164.28,0,0,0,4,0
(Delhi Capitals),,,,,,,,,,,,,,
MM Sharma,2013-2025,9,5,1,23,14,5.75,25,92,0,0,1,3,0
"(Chennai Super Kings, Delhi Capitals, Gujarat Titans, Kings XI Punjab)",,,,,,,,,,,,,,
RK Singh,2023-2024,2,2,2,23,18*,-,15,153.33,0,0,0,2,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
GJ Bailey,2010-2016,5,5,0,22,18,4.4,42,52.38,0,0,1,2,0
"(Chennai Super Kings, Kings XI Punjab, Rising Pune Supergiants)",,,,,,,,,,,,,,
CA Ingram,2019-2019,1,1,0,22,22,22,21,104.76,0,0,0,2,1
(Delhi Capitals),,,,,,,,,,,,,,
DJ Jacobs,2011-2011,1,1,0,22,22,22,16,137.5,0,0,0,2,2
(Mumbai Indians),,,,,,,,,,,,,,
DS Kulkarni,2008-2018,5,3,1,22,10*,11,12,183.33,0,0,0,4,0
"(Gujarat Lions, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
R Parag,2019-2025,2,1,0,22,22,22,10,220,0,0,0,2,2
(Rajasthan Royals),,,,,,,,,,,,,,
Shashank Singh,2024-2025,2,2,1,22,21*,22,13,169.23,0,0,0,1,2
(Punjab Kings),,,,,,,,,,,,,,
PC Valthaty,2011-2011,1,1,0,21,21,21,16,131.25,0,0,0,4,0
(Kings XI Punjab),,,,,,,,,,,,,,
B Chipli,2008-2008,3,3,0,20,10,6.66,28,71.42,0,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
M Manhas,2010-2014,5,3,2,20,11*,20,22,90.9,0,0,0,2,0
"(Chennai Super Kings, Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,
A Choudhary,2017-2017,3,2,1,19,15*,19,18,105.55,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
ER Dwivedi,2016-2016,1,1,0,19,19,19,9,211.11,0,0,0,1,2
(Gujarat Lions),,,,,,,,,,,,,,
BJ Hodge,2011-2013,3,3,1,19,13,9.5,31,61.29,0,0,0,1,0
"(Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,
DJ Hooda,2016-2023,4,4,1,19,9,6.33,23,82.6,0,0,0,2,0
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DR Martyn,2010-2010,1,1,0,19,19,19,24,79.16,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
Rashid Khan,2017-2025,6,2,0,19,18,9.5,16,118.75,0,0,0,2,1
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,
YV Takawale,2008-2014,2,1,0,19,19,19,17,111.76,0,0,0,4,0
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RN ten Doeschate,2012-2015,3,3,0,19,12,6.33,14,135.71,0,0,0,2,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
Aman Hakim Khan,2023-2023,1,1,0,18,18,18,10,180,0,0,0,1,1
(Delhi Capitals),,,,,,,,,,,,,,
AP Tare,2010-2017,2,1,0,18,18,18,17,105.88,0,0,0,3,0
"(Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,
Y Venugopal Rao,2010-2012,2,1,0,18,18,18,23,78.26,0,0,0,1,0
"(Deccan Chargers, Delhi Daredevils)",,,,,,,,,,,,,,
CJ Anderson,2018-2018,2,2,0,17,15,8.5,21,80.95,0,0,0,0,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SB Bangar,2008-2008,1,1,1,17,17*,-,7,242.85,0,0,0,0,2
(Deccan Chargers),,,,,,,,,,,,,,
RJ Harris,2010-2012,3,1,0,17,17,17,25,68,0,0,0,1,0
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,
MG Johnson,2013-2018,6,2,1,17,16*,17,16,106.25,0,0,0,1,1
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
MC Juneja,2013-2013,1,1,0,17,17,17,16,106.25,0,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
SL Malinga,2011-2019,6,1,0,17,17,17,16,106.25,0,0,0,1,1
(Mumbai Indians),,,,,,,,,,,,,,
P Arya,2025-2025,1,1,0,16,16,16,11,145.45,0,0,0,1,1
(Punjab Kings),,,,,,,,,,,,,,
UT Khawaja,2016-2016,1,1,0,16,16,16,6,266.66,0,0,0,2,1
(Rising Pune Supergiants),,,,,,,,,,,,,,
Y Nagar,2012-2012,1,1,0,16,16,16,15,106.66,0,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
LA Pomersbach,2011-2011,2,1,0,16,16,16,14,114.28,0,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Shakib Al Hasan,2012-2018,3,2,0,16,12,8,11,145.45,0,0,0,2,0
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
V Suryavanshi,2025-2025,1,1,0,16,16,16,12,133.33,0,0,0,0,2
(Rajasthan Royals),,,,,,,,,,,,,,
Arshad Khan,2023-2025,2,1,1,15,15*,-,9,166.66,0,0,0,0,1
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,
Swapnil Singh,2024-2024,3,2,1,15,15*,15,10,150,0,0,1,2,1
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
DJ Willey,2023-2023,3,2,2,15,11*,-,12,125,0,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SA Abbott,2015-2015,1,1,0,14,14,14,9,155.55,0,0,0,1,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Abishek Porel,2023-2025,3,3,0,14,7,4.66,18,77.77,0,0,0,1,0
(Delhi Capitals),,,,,,,,,,,,,,
PW Hasaranga,2023-2025,5,4,1,14,6,4.66,16,87.5,0,0,0,0,0
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
JP Inglis,2025-2025,1,1,0,14,14,14,17,82.35,0,0,0,2,0
(Punjab Kings),,,,,,,,,,,,,,
Mohammed Siraj,2018-2025,22,5,2,14,12,4.66,14,100,0,0,1,0,2
"(Gujarat Titans, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
BJ Rohrer,2013-2013,1,1,0,14,14,14,14,100,0,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
DJG Sammy,2014-2015,2,2,0,14,8,7,17,82.35,0,0,0,0,1
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
V Vyshak,2023-2024,8,3,2,14,13*,14,11,127.27,0,0,1,0,1
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
JEC Franklin,2011-2012,2,1,0,13,13,13,13,100,0,0,0,0,1
(Mumbai Indians),,,,,,,,,,,,,,
Kuldeep Yadav,2018-2025,5,2,1,13,7*,13,16,81.25,0,0,0,1,0
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,
MF Maharoof,2008-2008,1,1,1,13,13*,-,8,162.5,0,0,0,1,1
(Delhi Daredevils),,,,,,,,,,,,,,
UT Yadav,2010-2023,22,6,5,13,9*,13,11,118.18,0,0,1,2,0
"(Delhi Daredevils, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
DAJ Bracewell,2012-2012,1,1,1,12,12*,-,9,133.33,0,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
KC Cariappa,2016-2016,1,1,1,12,12*,-,8,150,0,0,0,0,1
(Kings XI Punjab),,,,,,,,,,,,,,
SB Dubey,2025-2025,1,1,0,12,12,12,7,171.42,0,0,0,1,1
(Rajasthan Royals),,,,,,,,,,,,,,
AD Mathews,2010-2015,3,3,0,12,10,4,12,100,0,0,0,0,1
"(Delhi Daredevils, Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,
AM Nayar,2008-2012,4,3,1,12,9*,6,14,85.71,0,0,0,1,0
"(Kings XI Punjab, Mumbai Indians)",,,,,,,,,,,,,,
R Rampaul,2013-2014,5,2,1,12,12*,12,8,150,0,0,1,0,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
PA Reddy,2012-2013,2,1,0,12,12,12,11,109.09,0,0,0,2,0
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Sandeep Sharma,2013-2025,8,2,1,12,7,12,14,85.71,0,0,0,1,0
"(Kings XI Punjab, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
R Sathish,2011-2013,2,1,1,12,12*,-,6,200,0,0,0,1,1
"(Kings XI Punjab, Mumbai Indians)",,,,,,,,,,,,,,
S Badree,2014-2017,6,3,0,11,8,3.66,13,84.61,0,0,1,0,0
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
DJM Short,2018-2018,1,1,0,11,11,11,17,64.7,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
